alpha_causal_to_spurious,in_dist_mse,transfer_mse,coef_instability
0.000000000000000000e+00,9.864148064823606843e-01,9.521086138752405947e-01,1.145448026235031287e-02
2.500000000000000139e-02,9.526676078977643902e-01,9.880671475674291937e-01,1.130242558540591261e-02
5.000000000000000278e-02,9.185410134655285219e-01,1.027417219236093748e+00,1.076161149391668612e-02
7.500000000000001110e-02,8.841039919843231010e-01,1.070541099389413775e+00,9.902407246346478162e-03
1.000000000000000056e-01,8.494313854062474078e-01,1.117852540392251015e+00,8.884481676088320373e-03
1.250000000000000000e-01,8.146037043977534253e-01,1.169794547133793827e+00,8.032400987686602947e-03
1.500000000000000222e-01,7.797068304160956753e-01,1.226836108970107642e+00,7.893851673937919700e-03
1.750000000000000167e-01,7.448316202436435773e-01,1.289467828252087722e+00,9.000360679773103043e-03
2.000000000000000111e-01,7.100734109210636857e-01,1.358196411134182213e+00,1.141226143747415579e-02
2.250000000000000056e-01,6.755314253413482461e-01,1.433538023324404609e+00,1.484383408108697240e-02
2.500000000000000000e-01,6.413080813581576445e-01,1.516010556091379025e+00,1.902764781726279386e-02
2.750000000000000222e-01,6.075082100507971372e-01,1.606124894767720468e+00,2.379639661929913025e-02
3.000000000000000444e-01,5.742381916806719167e-01,1.704375331237880431e+00,2.904755702295861580e-02
3.250000000000000111e-01,5.416050207591773802e-01,1.811229311067940495e+00,3.471182564447680002e-02
3.500000000000000333e-01,5.097153144005294179e-01,1.927116752269761424e+00,4.073651062615821217e-02
3.750000000000000000e-01,4.786742806241444104e-01,2.052419213249482510e+00,4.707743438688490739e-02
4.000000000000000222e-01,4.485846653696617392e-01,2.187459219343792949e+00,5.369492839495639686e-02
4.250000000000000444e-01,4.195456985724690391e-01,2.332490077817314322e+00,6.055178413809271520e-02
4.500000000000000111e-01,3.916520606151468464e-01,2.487686518087454779e+00,6.761217174525729900e-02
4.750000000000000333e-01,3.649928907427678060e-01,2.653136485772897402e+00,7.484105827792851551e-02
5.000000000000000000e-01,3.396508585620199305e-01,2.828834395328290174e+00,8.220389544464866416e-02
5.250000000000000222e-01,3.157013185273958578e-01,3.014676106931129418e+00,8.966645903758960201e-02
5.500000000000000444e-01,2.932115653833695657e-01,3.210455840359430546e+00,9.719477802842202419e-02
5.750000000000000666e-01,2.722402059494979931e-01,3.415865174246228708e+00,1.047551199538446359e-01
6.000000000000000888e-01,2.528366595109839410e-01,3.630494206548189329e+00,1.123140145589996419e-01
6.250000000000000000e-01,2.350407955446825181e-01,3.853834875146495254e+00,1.198383060601542760e-01
6.500000000000000222e-01,2.188827137247103538e-01,4.085286360346983336e+00,1.272952289851349006e-01
6.750000000000000444e-01,2.043826672783798926e-01,4.324162417801229452e+00,1.346525049640754645e-01
7.000000000000000666e-01,1.915511269679819883e-01,4.569700424859333587e+00,1.418784589399176010e-01
7.250000000000000888e-01,1.803889794129466262e-01,4.821071868830460794e+00,1.489421535402290220e-01
7.500000000000000000e-01,1.708878502770445063e-01,5.077393964508104318e+00,1.558135401010472543e-01
7.750000000000000222e-01,1.630305401373060570e-01,5.337742062112074137e+00,1.624636242620513538e-01
8.000000000000000444e-01,1.567915587048641923e-01,5.601162496013513348e+00,1.688646433099014743e-01
8.250000000000000666e-01,1.521377415291335355e-01,5.866685528789669313e+00,1.749902516521231188e-01
8.500000000000000888e-01,1.490289323984859138e-01,6.133338062997964357e+00,1.808157100565339348e-01
8.750000000000000000e-01,1.474187143347840956e-01,6.400155822578055265e+00,1.863180736732394371e-01
9.000000000000000222e-01,1.472551723210222541e-01,6.666194744520161919e+00,1.914763734336012713e-01
9.250000000000000444e-01,1.484816716349058596e-01,6.930541366650469826e+00,1.962717852407213359e-01
9.500000000000000666e-01,1.510376368054774654e-01,7.192322046300441585e+00,2.006877814567145368e-01
9.750000000000000888e-01,1.548593176751712208e-01,7.450710894602092793e+00,2.047102595597623809e-01
1.000000000000000000e+00,1.598805307435441081e-01,7.704936359824840153e+00,2.083276434744675554e-01
