T,full_state,abs_magnetization,energy,subset_mag_k2_0,subset_mag_k2_1,subset_mag_k4_0,subset_mag_k4_1,subset_mag_k8_0,subset_mag_k8_1,hash8_0,hash8_1,hash8_2,hash8_3,hash8_4,hash8_5,block_majority_0,block_majority_1,block_majority_2,block_majority_3,abs_linear_0,abs_linear_1,abs_linear_2,abs_linear_3,single_spin,parity,sign_M
1.500000000000000000e+00,1.424710207820800045e+00,1.415843190297909171e+00,1.424710207820790053e+00,2.513571832129363193e-01,2.568780671990507636e-01,4.631201215708196650e-01,4.670114277030997241e-01,8.493149986883024027e-01,8.464509808606897057e-01,5.915727208282710592e-01,6.042563545252759294e-01,6.696394767562998673e-01,6.416945231578751185e-01,6.750981578778704195e-01,4.984009836052155085e-01,2.276579198960143047e-01,2.602143043340026662e-01,2.472062719405221931e-01,2.415029227386643884e-01,9.925652358254768437e-01,9.611228962446443091e-01,1.124385171266190087e+00,1.062909491573888365e+00,7.324744210583640180e-24,9.052620403150725137e-01,1.140512541355244128e-06
1.524999999999999911e+00,1.483891625239441847e+00,1.473857990789678940e+00,1.483891625239433854e+00,2.665333428770297886e-01,2.729065904832617129e-01,4.892917088505522316e-01,4.937054908993760427e-01,8.924801562574892211e-01,8.892784459318959778e-01,6.163061137093109876e-01,6.320208208653811388e-01,6.980597727727575474e-01,6.703887143909516011e-01,7.040143772328594229e-01,5.216071215134446826e-01,2.559159800866787071e-01,2.904420812951517550e-01,2.765887296244701754e-01,2.706678567045276984e-01,1.027953224907063756e+00,9.976859378753277774e-01,1.162305564307081207e+00,1.099932311751451230e+00,1.376852864470334142e-23,9.173721947047326353e-01,1.615085726511128161e-06
1.550000000000000044e+00,1.543184451891226106e+00,1.531883762837355167e+00,1.543184451891233655e+00,2.822092386979602185e-01,2.895185612285511856e-01,5.162187788792140797e-01,5.211974707533314488e-01,9.364469229203359335e-01,9.328859412525375427e-01,6.410258884234147914e-01,6.599690425250718251e-01,7.263889216814787275e-01,6.991887809767094453e-01,7.328680399999194517e-01,5.450227049998180862e-01,2.863576596243288530e-01,3.228076237523033187e-01,3.081232124234286052e-01,3.019995999454274105e-01,1.062728283986302591e+00,1.033809747209882834e+00,1.199325421125982505e+00,1.136214422994572759e+00,4.339594035966110529e-25,9.273920438336288319e-01,2.264358894601722087e-06
1.574999999999999956e+00,1.602475736359802561e+00,1.589805169373238680e+00,1.602475736359823211e+00,2.983573830207102429e-01,3.066871478677153373e-01,5.438591968691965928e-01,5.494448178433873897e-01,9.811311962766448014e-01,9.771901374098643789e-01,6.656671357109072984e-01,6.880294327626879092e-01,7.545383562365045593e-01,7.280178890329375152e-01,7.615709660966276662e-01,5.685896283035767329e-01,3.189734466128133494e-01,3.572850411823825234e-01,3.417910626685217168e-01,3.354803210874189312e-01,1.096794768280870747e+00,1.069392406143333751e+00,1.235339194411425812e+00,1.171654296777363102e+00,7.798561882786505906e-24,9.352946751299699990e-01,3.143666205664868966e-06
1.600000000000000089e+00,1.661636444637245580e+00,1.647491409868001355e+00,1.661636444637229593e+00,3.149409568830336403e-01,3.243749654999966703e-01,5.721571463861753193e-01,5.783907278482579573e-01,1.026430809948780665e+00,1.022089912229763309e+00,6.901561960043807176e-01,7.161198864889937177e-01,7.824101388514300703e-01,7.567889552661826169e-01,7.900254821362338031e-01,5.922402582366541601e-01,3.537279397491336907e-01,3.938227473870956619e-01,3.775479126930152418e-01,3.710662818239534033e-01,1.130049753625767206e+00,1.104323662233613890e+00,1.270234979490663330e+00,1.206143287942111675e+00,7.908951687247348238e-24,9.410593539045591926e-01,4.322598771612896745e-06
1.625000000000000000e+00,1.720520272883233170e+00,1.704795092022876490e+00,1.720520272883228952e+00,3.319130906696662886e-01,3.425332370788507497e-01,6.010420807818206423e-01,6.079630619140752312e-01,1.072224442965659552e+00,1.067465262947945082e+00,7.144101606583008746e-01,7.441471557264930370e-01,8.098966437782557648e-01,7.854040827526654889e-01,8.181240890770976604e-01,6.158968907352339039e-01,3.905580597639698448e-01,4.323418949731626104e-01,4.153220149166794162e-01,4.086861724807618890e-01,1.162382564489316650e+00,1.138484472134287051e+00,1.303894064480098702e+00,1.239565158582621951e+00,8.737703419832424811e-24,9.446714361662112980e-01,5.887584968389402081e-06
1.649999999999999911e+00,1.778962838041035166e+00,1.761551476672332583e+00,1.778962838041031391e+00,3.492163016353400651e-01,3.611011330161043587e-01,6.304279049435318472e-01,6.380735079044854707e-01,1.118370873132314536e+00,1.113176557835760860e+00,7.383365855183834370e-01,7.720064482778165038e-01,8.368804776419599412e-01,8.137542245496470761e-01,8.457493668938362852e-01,6.394714072626750401e-01,4.293716462999109806e-01,4.727351933612603530e-01,4.550129556031332068e-01,4.482398343056879786e-01,1.193674545024388634e+00,1.171746786369096682e+00,1.336190737336939494e+00,1.271795859591956068e+00,7.410841733420377604e-25,9.461224433138408774e-01,7.944599904188708563e-06
1.675000000000000044e+00,1.836781301765571861e+00,1.817578150287416205e+00,1.836781301765592955e+00,3.667821259188044913e-01,3.800053320608209884e-01,6.602124366571613390e-01,6.686170331069147821e-01,1.164708629515668559e+00,1.159064182166178236e+00,7.618334504905670546e-01,7.995812910494027870e-01,8.632346723455406323e-01,8.417191151010595673e-01,8.727741498366260453e-01,6.628651654971664531e-01,4.700465104713994480e-01,5.148661763745007169e-01,4.964908204246005208e-01,4.895974361432117172e-01,1.223799106495653932e+00,1.203973611441374603e+00,1.366992383208699646e+00,1.302703604159276329e+00,1.575934012057975706e-24,9.454102982445622416e-01,1.062190001191312951e-05
1.699999999999999956e+00,1.893774476473847335e+00,1.872675172812738653e+00,1.893774476473861323e+00,3.845309810573860898e-01,3.991598442527993784e-01,6.902771940352586677e-01,6.994716758124290834e-01,1.211056093435682657e+00,1.204948627760866309e+00,7.847893951315561001e-01,8.267436960916546562e-01,8.888231798693639885e-01,8.691675056767099727e-01,8.990620014495696033e-01,6.859691557878582202e-01,5.124300075900345419e-01,5.585689796881871949e-01,5.395958741842543649e-01,5.325991673548975402e-01,1.252622079918444653e+00,1.235019381147523632e+00,1.396159900323947767e+00,1.332149262359126229e+00,1.351777071098674404e-26,9.425397154034403924e-01,1.407264566274802368e-05
1.725000000000000089e+00,1.949723453247219185e+00,1.926625739483214472e+00,1.949723453247242499e+00,4.023722915607953476e-01,4.184661325760691275e-01,7.204875505932620827e-01,7.304987179962627586e-01,1.257212089164444935e+00,1.250631067299199595e+00,8.070842549555141687e-01,8.533546618852810850e-01,9.135016920742533575e-01,8.959577343612289413e-01,9.244680122797127586e-01,7.086644502057756201e-01,5.563391859337744050e-01,6.036486799133987668e-01,5.841388084712078044e-01,5.770555002715552773e-01,1.280002396601934267e+00,1.264730662997433752e+00,1.423548455880275121e+00,1.359987099124203569e+00,9.264890516480277922e-25,9.375227300753508075e-01,1.847724070404144887e-05
