P_over_N,iid_natural,diag_lognormal_0,diag_lognormal_1,diag_lognormal_2,diag_lognormal_3,diag_lognormal_4,diag_lognormal_5,rot_powerlaw_0,rot_powerlaw_1,rot_powerlaw_2,rot_powerlaw_3,slice_d4_0,slice_d4_1,slice_d16_0,slice_d16_1,slice_d64_0,slice_d64_1,train_span
5.000000000000000278e-02,1.051668323659863846e+00,9.621225802538324601e-01,1.026277522659639896e+00,1.068183505135559486e+00,9.963439509339648836e-01,1.077628363620037666e+00,1.001029160979853838e+00,1.129538115927354758e+00,9.309938472631037465e-01,1.033409531862002684e+00,1.042024664669176648e+00,8.149581260604363830e-01,7.832577908184924498e-01,9.404840323778481670e-01,1.001081200650870695e+00,1.047008901173018813e+00,9.666925158518664407e-01,9.642834903773005450e-01
1.000000000000000056e-01,1.095180452678284677e+00,1.009353532165597755e+00,1.115447713577908617e+00,1.129861860451521371e+00,1.035695267385044804e+00,1.130425818139594307e+00,1.049718711702234852e+00,1.225150392596542348e+00,1.012549532106052919e+00,1.099651347462359263e+00,1.056906507830845499e+00,8.551090390636331140e-01,8.026313935336453209e-01,1.006382430652005278e+00,1.019607695196300901e+00,1.107188643986559473e+00,1.000848258381968892e+00,8.900299027368901994e-01
1.499999999999999944e-01,1.116346011192199894e+00,1.074853481348956974e+00,1.138357463374596534e+00,1.157831643743835182e+00,1.071820356202683122e+00,1.159855434054145373e+00,1.065835990448506632e+00,1.171525671113868849e+00,1.047071979246989359e+00,1.091214096941063749e+00,1.129152336641162657e+00,8.027969013191100789e-01,1.020347126866504084e+00,1.015771755092023998e+00,1.081387370008966675e+00,1.137041154072822247e+00,1.056898828989517813e+00,8.415551794304928501e-01
2.000000000000000111e-01,1.226795348572233157e+00,1.160234132529463835e+00,1.200778844053880023e+00,1.254545008649933235e+00,1.221342114509907484e+00,1.265782995596735017e+00,1.131254840242530424e+00,1.259007421243171887e+00,1.127656946691979467e+00,1.168342513406199989e+00,1.233366671716624507e+00,7.217441892452938212e-01,1.105932066615559872e+00,1.119418855040609007e+00,1.162503334535128108e+00,1.236132777426042662e+00,1.184880101942154429e+00,7.628703390000379780e-01
2.500000000000000000e-01,1.344182765411562119e+00,1.292190851347965630e+00,1.312120859402043926e+00,1.278077957732486336e+00,1.294623472543213749e+00,1.404819016904656825e+00,1.261286220112183942e+00,1.399924154067184734e+00,1.245327542990452008e+00,1.306424834265181190e+00,1.467217998426071812e+00,1.065092074904694597e+00,1.139811507633858856e+00,1.325606148632494818e+00,1.175118050727969043e+00,1.280216885367790436e+00,1.273482955119532578e+00,6.924718005109836705e-01
2.999999999999999889e-01,1.376299018846522282e+00,1.371916285342233532e+00,1.361543502428295138e+00,1.318890370016397195e+00,1.353800625795324786e+00,1.426180622003796916e+00,1.260033725886486433e+00,1.519463822437175704e+00,1.345568148318174284e+00,1.307113206159959073e+00,1.506179251570084698e+00,1.044058702200603594e+00,1.233333736079931242e+00,1.367353786636039459e+00,1.175621834095788687e+00,1.334803958664622314e+00,1.281357350145575280e+00,6.667282801398928260e-01
3.499999999999999778e-01,1.447927225374253002e+00,1.431683759088662189e+00,1.442538451466089722e+00,1.387011356996687761e+00,1.383149118408091960e+00,1.479936934461620002e+00,1.356265515585167059e+00,1.560981496250147149e+00,1.466518868211882154e+00,1.377408866596487202e+00,1.640385535318915178e+00,1.042134462659574989e+00,1.415054236383205488e+00,1.396695184626187247e+00,1.220541279556340175e+00,1.420588015940037696e+00,1.369201055690457469e+00,6.447484281711662879e-01
4.000000000000000222e-01,1.501724665116067836e+00,1.508132955746194437e+00,1.519988846582108089e+00,1.458080808576454279e+00,1.462908773911727467e+00,1.535880637710240970e+00,1.392027212277983761e+00,1.663674345346350947e+00,1.461023761056390979e+00,1.377839140066182022e+00,1.717483917860060938e+00,1.074858000583554185e+00,1.308799485975592036e+00,1.519908784537382207e+00,1.265757151428176241e+00,1.447179389831210417e+00,1.445843345507409561e+00,5.886983603742372839e-01
4.500000000000000111e-01,1.629731846920433158e+00,1.605769940508916971e+00,1.593693105497663298e+00,1.560037206026446022e+00,1.638313557393920927e+00,1.599421473403305427e+00,1.490765552241983816e+00,1.745449093558393727e+00,1.523648566997213738e+00,1.414205816119362691e+00,1.766408013567630109e+00,1.337893177627718755e+00,1.631418922656622472e+00,1.759396555219137070e+00,1.317426111016564594e+00,1.562447998672470195e+00,1.614969271561735864e+00,5.148724082661136903e-01
5.000000000000000000e-01,1.908374849200617618e+00,1.857369153011713792e+00,1.927602810711674719e+00,1.905399884203849314e+00,1.985035760465062582e+00,1.876227164614219900e+00,1.742365031321600810e+00,2.023001001218929673e+00,1.727981133829858518e+00,1.597568349160445100e+00,1.922237599775557415e+00,1.466618685450061355e+00,1.648967238831474447e+00,2.115280392795162889e+00,1.537592085318252533e+00,1.834545320786334699e+00,1.951291083159997441e+00,4.527532930752983242e-01
5.500000000000000444e-01,2.039961541262388600e+00,1.924137299592007411e+00,1.927567365737500982e+00,2.032920988925774886e+00,2.148332778024523382e+00,1.983409431367463949e+00,1.882716974088431083e+00,2.153840118913406432e+00,1.699268999127535151e+00,1.665821625080959212e+00,1.842653289852902887e+00,1.628136563261304293e+00,1.744851612634250371e+00,2.293262880574609142e+00,1.602634773338392549e+00,1.972128179393338954e+00,2.057377941498392371e+00,3.839950288918743682e-01
5.999999999999999778e-01,2.254472459782069116e+00,2.229468325995700884e+00,2.105970672762835338e+00,2.294855603517020004e+00,2.303086715240177718e+00,2.179462087566720996e+00,2.129303520520410498e+00,2.545444642389347756e+00,1.861338639140869944e+00,1.852939053235549860e+00,2.089140712826016877e+00,1.617573051191222078e+00,1.754249932858264360e+00,2.576836446367179789e+00,1.873011327924220648e+00,2.196857154855922367e+00,2.252328834939506308e+00,3.390945594059986967e-01
6.500000000000000222e-01,2.480441300355757939e+00,2.479127827402187734e+00,2.307303067024137011e+00,2.535253727082753095e+00,2.490508061116356142e+00,2.534731660693357203e+00,2.284559532194962550e+00,2.651300323870019238e+00,2.043093873067408417e+00,2.240363010719145898e+00,2.194245542264998239e+00,2.127314363145543119e+00,1.830641064941297413e+00,2.715614868518971825e+00,2.085614186785577751e+00,2.368818954321412651e+00,2.326583655113155569e+00,2.896761770531322000e-01
6.999999999999999556e-01,3.439809895309843935e+00,3.448526980112247120e+00,3.247343277426651298e+00,3.457852707287656813e+00,3.363428048132207859e+00,3.396317901623105762e+00,3.192161699057266322e+00,3.560702493292121851e+00,2.920567049746464861e+00,2.899629481811703435e+00,2.821877539846322058e+00,2.416666733021072933e+00,2.741887764770633229e+00,3.762655651011282743e+00,2.863233824517638304e+00,3.371177903836188872e+00,3.248758922740940136e+00,2.223615762589132017e-01
7.500000000000000000e-01,3.985518594694371419e+00,3.976765992926865501e+00,3.820511922654959314e+00,3.994800695699777915e+00,4.004548644463491236e+00,4.007275703271028000e+00,3.874717435059206849e+00,3.886865138827341859e+00,3.496067871625044177e+00,3.638015128985863100e+00,3.132676321847176926e+00,2.633615413051772158e+00,2.596560272399696334e+00,4.306187421807822879e+00,3.526218598681233551e+00,3.940403057170382972e+00,3.763592384199078822e+00,1.803815463540657527e-01
8.000000000000000444e-01,5.113339057948349087e+00,4.866958393233948854e+00,4.854183888397606950e+00,5.263588589591043032e+00,5.097442057699123730e+00,4.965657273152721984e+00,5.308026983208355531e+00,5.230898187320453196e+00,4.540404608489942540e+00,4.318387201068238923e+00,3.878297995718640756e+00,3.873304603111761057e+00,2.734377935948709926e+00,5.064957146903968699e+00,4.724223873322368483e+00,5.160949585782062421e+00,5.066181161464275995e+00,1.461112078931144365e-01
8.499999999999999778e-01,5.580970886634416317e+00,5.631731241837823809e+00,5.361233945254721078e+00,5.799215200971952200e+00,5.605727948353960599e+00,5.368134745587473056e+00,5.829099518412737879e+00,5.915274322816542529e+00,5.199742885325538744e+00,5.482522359102856235e+00,4.027810728073244917e+00,4.367630173906801083e+00,3.853647956337418634e+00,5.445599419269247399e+00,5.700003278915995786e+00,5.441193978657802077e+00,5.271828971304511668e+00,1.166706329284774302e-01
9.000000000000000222e-01,5.856535184287466222e+00,5.947156451519486353e+00,5.655599151813087033e+00,6.019995906772505734e+00,6.013891968298844759e+00,5.645710533919874763e+00,6.093642945100188335e+00,6.076620749490394324e+00,5.174174264993817829e+00,5.368358439319268705e+00,4.380522488984565754e+00,5.526194970659785710e+00,4.270628374918238990e+00,5.449504994789042378e+00,6.176157886475052372e+00,5.901936622515004061e+00,5.700852627835912401e+00,1.039696508967641597e-01
9.499999999999999556e-01,2.419370647520205608e+01,2.314447574193409451e+01,2.137454370817498628e+01,2.328878635364058525e+01,2.536742556689299732e+01,2.033422953636576480e+01,2.740016174062329313e+01,2.024210687007728282e+01,2.664936687842813967e+01,2.120878587678199523e+01,2.182847298078662490e+01,2.360626752333443079e+01,2.049234723372473610e+01,2.643527389129819127e+01,2.637083431593350724e+01,2.625967708709456616e+01,2.221086023733851889e+01,6.657482917319992866e-02
1.000000000000000000e+00,7.534934120346614463e+02,7.738093153233496651e+02,8.435319775579979478e+02,7.317585681639984614e+02,7.081322129014293978e+02,8.466376208061083162e+02,7.082619027394578097e+02,9.823522407363880120e+02,6.593409080656201695e+02,8.155235630187474953e+02,8.958143122855824458e+02,2.484414506710194530e+02,6.271461328882535327e+02,9.761605545381296452e+02,8.692709238371962783e+02,7.256758905001555604e+02,8.395072694490465892e+02,2.318495670274672502e-02
1.050000000000000044e+00,2.031293041566032187e+01,1.808830311036418692e+01,2.067411882309545490e+01,1.627186860194342444e+01,1.944482700361377425e+01,1.972953551557127838e+01,2.141257497281416278e+01,2.190142662430566745e+01,1.664138929599313599e+01,1.910666092556808593e+01,1.764107630306300933e+01,1.018183335315939786e+01,2.870478763258557819e+01,2.179960171416031400e+01,1.628451005216514957e+01,1.912148032019430133e+01,1.920003833094541434e+01,2.318495670274684298e-02
1.100000000000000089e+00,7.837517275305162734e+00,7.538997922307869359e+00,8.055513195823502670e+00,7.724154696441149603e+00,6.932078655377139853e+00,7.814007436504998516e+00,8.715045504488292849e+00,9.167399759855513253e+00,7.181766131348955362e+00,7.327428117185613488e+00,8.215682462133957031e+00,5.335309274950846614e+00,1.020846982018183269e+01,7.837681378941086408e+00,6.533615630705796207e+00,7.896848190311904325e+00,7.554570782368268844e+00,2.318495670274675277e-02
