T,F_channel,F_composed,T_eff_fit,KL_bits
1.050000000000000044e+00,1.456304969727302036e-02,1.458524665824603370e-02,7.316026192704014885e-01,4.653289584964668353e-05
1.060000000000000053e+00,1.581926853916209783e-02,1.576653427779283259e-02,7.394165322612389346e-01,5.167994380999932233e-05
1.070000000000000062e+00,1.715908414298169746e-02,1.709972106390375210e-02,7.472683341577159855e-01,5.727668450553264397e-05
1.080000000000000071e+00,1.858638712211782562e-02,1.851973149580795133e-02,7.551589540825318636e-01,6.335068277456959765e-05
1.090000000000000080e+00,2.010516539309905454e-02,2.003050768563183204e-02,7.630893284368054363e-01,6.993026265276484270e-05
1.100000000000000089e+00,2.171950298581060493e-02,2.163608734097780678e-02,7.710604009729662423e-01,7.704446691068144002e-05
1.110000000000000098e+00,2.343357853108740327e-02,2.334060186346880936e-02,7.790731221944378060e-01,8.472301509451881025e-05
1.120000000000000107e+00,2.525166339857787615e-02,2.514827526756343440e-02,7.871284491656156401e-01,9.299625700776026349e-05
1.130000000000000115e+00,2.717811945653490768e-02,2.706342211828646413e-02,7.952273450859899118e-01,1.018951238565848590e-04
1.140000000000000124e+00,2.921739642592140890e-02,2.909044525780138737e-02,8.033707790270407934e-01,1.114510757884703353e-04
1.150000000000000133e+00,3.137402880096128860e-02,3.123383273010972572e-02,8.115597254898407886e-01,1.216960474472047023e-04
1.160000000000000142e+00,3.365263230877604123e-02,3.349815524163275715e-02,8.197951640299396825e-01,1.326623907817318416e-04
1.169999999999999929e+00,3.605789988167717314e-02,3.588806242974532101e-02,8.280780789747399506e-01,1.443828149832887824e-04
1.180000000000000160e+00,3.859459711572193336e-02,3.840827849865587063e-02,8.364094589733372942e-01,1.568903252473951215e-04
1.189999999999999947e+00,4.126755719101009995e-02,4.106359783978113381e-02,8.447902966343914244e-01,1.702181592495710519e-04
1.199999999999999956e+00,4.408167522962045531e-02,4.385887998187917164e-02,8.532215881175564398e-01,1.843997223519266407e-04
1.209999999999999964e+00,4.704190206916319950e-02,4.679904389579679636e-02,8.617043327731834790e-01,1.994685211445974555e-04
1.219999999999999973e+00,5.015323743072836599e-02,4.988906162007981232e-02,8.702395327142136150e-01,2.154580964349719831e-04
1.229999999999999982e+00,5.342072246299341826e-02,5.313395143522742919e-02,8.788281924266687639e-01,2.324019551795105732e-04
1.239999999999999991e+00,5.684943164474571403e-02,5.653877037111858239e-02,8.874713183431748309e-01,2.503335022340408039e-04
1.250000000000000000e+00,6.044446403189895206e-02,6.010860645724195456e-02,8.961699184487907921e-01,2.692859715700033989e-04
1.260000000000000009e+00,6.421093383656639730e-02,6.384856943615324631e-02,9.049250019051591210e-01,2.892923572078782068e-04
1.270000000000000018e+00,6.815396032796230963e-02,6.776378134903489336e-02,9.137375785687822383e-01,3.103853456133464175e-04
1.280000000000000027e+00,7.227865704952113335e-02,7.185936679353778500e-02,9.226086586286770252e-01,3.325972472720656846e-04
1.290000000000000036e+00,7.659012034756652876e-02,7.614044177652061485e-02,9.315392521742966725e-01,3.559599297792675056e-04
1.300000000000000044e+00,8.109341721139473602e-02,8.061210227259760219e-02,9.405303687875874452e-01,3.805047515998990592e-04
1.310000000000000053e+00,8.579357242772769898e-02,8.527941207194661422e-02,9.495830171228669681e-01,4.062624971733393435e-04
1.320000000000000062e+00,9.069555505548901331e-02,9.014738971491595421e-02,9.586982045079530668e-01,4.332633130443042666e-04
1.330000000000000071e+00,9.580426423181813422e-02,9.522099518799825857e-02,9.678769365092079191e-01,4.615366461578345077e-04
1.340000000000000080e+00,1.011245143228913790e-01,1.005051154158102811e-01,9.771202165687611352e-01,4.911111825774594659e-04
1.350000000000000089e+00,1.066610194371317433e-01,1.060045492186128674e-01,9.864290455471014241e-01,5.220147897786437492e-04
1.360000000000000098e+00,1.124183773245851226e-01,1.117239919885754246e-01,9.958044213610466322e-01,5.542744591618321446e-04
1.370000000000000107e+00,1.184010526864769514e-01,1.176680193929232343e-01,1.005247338557373027e+00,5.879162519227578961e-04
1.380000000000000115e+00,1.246133599284689475e-01,1.238410703064131008e-01,1.014758787951152819e+00,6.229652457151204064e-04
1.390000000000000124e+00,1.310594453900861545e-01,1.302474297646045442e-01,1.024339756187267358e+00,6.594454853854932316e-04
1.400000000000000133e+00,1.377432690928766246e-01,1.368912108497385705e-01,1.033991225419097049e+00,6.973799331694793303e-04
1.410000000000000142e+00,1.446685860483983566e-01,1.437763360283431380e-01,1.043714172862453715e+00,7.367904244223512930e-04
1.419999999999999929e+00,1.518389271777769167e-01,1.509065189409598828e-01,1.053509570472180634e+00,7.776976225261685721e-04
1.430000000000000160e+00,1.592575798941518739e-01,1.582852441381000785e-01,1.063378384553109512e+00,8.201209779030565203e-04
1.439999999999999947e+00,1.669275684062177245e-01,1.659157481165257908e-01,1.073321575382546023e+00,8.640786892330334966e-04
1.450000000000000178e+00,1.748516338063061393e-01,1.738009994357709587e-01,1.083340096881796111e+00,9.095876654342498072e-04
1.459999999999999964e+00,1.830322140080405946e-01,1.819436780567423306e-01,1.093434896251481714e+00,9.566634910858594354e-04
1.469999999999999973e+00,1.914714236057040164e-01,1.903461551871623580e-01,1.103606913626766772e+00,1.005320393511223475e-03
1.479999999999999982e+00,2.001710337298250597e-01,1.990104731012401484e-01,1.113857081738562016e+00,1.055571211864620405e-03
1.489999999999999991e+00,2.091324519789672653e-01,2.079383245361699772e-01,1.124186325595693869e+00,1.107427367503135149e-03
1.500000000000000000e+00,2.183567025090465130e-01,2.171310322901649770e-01,1.134595562149631309e+00,1.160898837105714008e-03
1.510000000000000009e+00,2.278444063685620136e-01,2.265895289124078005e-01,1.145085699989507155e+00,1.215994126499211252e-03
1.520000000000000018e+00,2.375957621679155585e-01,2.363143371094621747e-01,1.155657639016654414e+00,1.272720247309459341e-03
1.530000000000000027e+00,2.476105271771394667e-01,2.463055499188338271e-01,1.166312270172466636e+00,1.331082692850442959e-03
1.540000000000000036e+00,2.578879989449877619e-01,2.565628111085819230e-01,1.177050475116438122e+00,1.391085418111116931e-03
1.550000000000000044e+00,2.684269975402706065e-01,2.670852972709971129e-01,1.187873125952423337e+00,1.452730819009425984e-03
1.560000000000000053e+00,2.792258485135867829e-01,2.778716994441202681e-01,1.198781084954611664e+00,1.516019713052190604e-03
1.570000000000000062e+00,2.902823666792707646e-01,2.889202057083364861e-01,1.209775204292286688e+00,1.580951321468930830e-03
1.580000000000000071e+00,3.015938408227046286e-01,3.002284848583902099e-01,1.220856325766567441e+00,1.647523252035462292e-03
1.590000000000000080e+00,3.131570194328029411e-01,3.117936709016612684e-01,1.232025280555272495e+00,1.715731482665866546e-03
1.600000000000000089e+00,3.249680975643723935e-01,3.236123487396556087e-01,1.243282888964498234e+00,1.785570345779331162e-03
1.610000000000000098e+00,3.370227049317366386e-01,3.356805407692727283e-01,1.254629960192841232e+00,1.857032512978628973e-03
1.620000000000000107e+00,3.493158953331784167e-01,3.479936948700096400e-01,1.266067292093267849e+00,1.930108980983765181e-03
1.629999999999999893e+00,3.618421375083580305e-01,3.605466739570866164e-01,1.277595670952468954e+00,2.004789057446766838e-03
1.640000000000000124e+00,3.745953075226399198e-01,3.733337465126231325e-01,1.289215871273825531e+00,2.081060347525592533e-03
1.649999999999999911e+00,3.875686827720740135e-01,3.863485791868316865e-01,1.300928655561371272e+00,2.158908741518683443e-03
