T,F_channel,F_composed,T_eff_fit,KL_bits
1.050000000000000044e+00,6.960962629622926938e-03,6.986149214110772172e-03,6.801283369975716919e-01,3.263007550351547219e-05
1.060000000000000053e+00,7.621636514555643095e-03,7.607958937278143721e-03,6.871971354387962361e-01,3.643553743181646300e-05
1.070000000000000062e+00,8.333460365236244893e-03,8.319435093982573484e-03,6.943058700177828779e-01,4.060834722453886356e-05
1.080000000000000071e+00,9.099503075103664712e-03,9.085322262060803455e-03,7.014556028051479597e-01,4.517657921382942175e-05
1.090000000000000080e+00,9.922958755470267025e-03,9.908862973699297458e-03,7.086473944396354252e-01,5.016989463816981396e-05
1.100000000000000089e+00,1.080714791320328341e-02,1.079343325224248543e-02,7.158823044266486857e-01,5.561959981639895970e-05
1.110000000000000098e+00,1.175551828987148918e-02,1.174254330251732654e-02,7.231613900735074374e-01,6.155870749513407474e-05
1.120000000000000107e+00,1.277164533211355181e-02,1.275983907332165455e-02,7.304857063057828004e-01,6.802199787512517313e-05
1.130000000000000115e+00,1.385923226234812844e-02,1.384910283584669249e-02,7.378563049844564237e-01,7.504608152778133800e-05
1.140000000000000124e+00,1.502210971922089862e-02,1.501425343266158015e-02,7.452742346713427946e-01,8.266946226781364526e-05
1.150000000000000133e+00,1.626423493678172405e-02,1.625934549809439703e-02,7.527405399399189623e-01,9.093260183267174097e-05
1.160000000000000142e+00,1.758969043220282719e-02,1.758856961855095533e-02,7.602562609056287002e-01,9.987798483734107880e-05
1.169999999999999929e+00,1.900268217169318735e-02,1.900625084455889041e-02,7.678224330115419605e-01,1.095501833816468561e-04
1.180000000000000160e+00,2.050753718533166250e-02,2.051684648519662077e-02,7.754400863970734026e-01,1.199959231770764427e-04
1.189999999999999947e+00,2.210870060206743259e-02,2.212494410545160287e-02,7.831102455488581082e-01,1.312641489588997894e-04
1.199999999999999956e+00,2.381073207721103382e-02,2.383525858203936615e-02,7.908339288591430538e-01,1.434060900588480494e-04
1.209999999999999964e+00,2.561830158610268679e-02,2.565262833669399584e-02,7.986121483093824303e-01,1.564753250500160327e-04
1.219999999999999973e+00,2.753618455869987630e-02,2.758201086017340181e-02,8.064459089991939944e-01,1.705278463448151830e-04
1.229999999999999982e+00,2.956925633189408723e-02,2.962847786987137660e-02,8.143362088201993032e-01,1.856221231674618855e-04
1.239999999999999991e+00,3.172248589781662825e-02,3.179720937052381985e-02,8.222840380746865296e-01,2.018191634208501759e-04
1.250000000000000000e+00,3.400092892866422162e-02,3.409348755170579087e-02,8.302903791303486436e-01,2.191825736471984852e-04
1.260000000000000009e+00,3.640972006089460838e-02,3.652268896500220768e-02,8.383562061752665162e-01,2.377786161748358040e-04
1.270000000000000018e+00,3.895406442367688182e-02,3.909027631317195384e-02,8.464824847579126565e-01,2.576762650744572614e-04
1.280000000000000027e+00,4.163922839977732965e-02,4.180179010414225571e-02,8.546701715705833369e-01,2.789472575675995569e-04
1.290000000000000036e+00,4.447052960968084223e-02,4.466283837160254372e-02,8.629202141427358974e-01,3.016661424492207352e-04
1.300000000000000044e+00,4.745332611236194320e-02,4.767908613834492132e-02,8.712335505354695808e-01,3.259103245565967148e-04
1.310000000000000053e+00,5.059300482057036558e-02,5.085624404132933069e-02,8.796111090841920443e-01,3.517601043336625387e-04
1.320000000000000062e+00,5.389496913051661231e-02,5.420005580714634674e-02,8.880538081351396773e-01,3.792987123628710835e-04
1.330000000000000071e+00,5.736462577084743691e-02,5.771628533240902303e-02,8.965625557781338184e-01,4.086123383512728184e-04
1.340000000000000080e+00,6.100737087864090830e-02,6.141070235382200398e-02,9.051382496512352382e-01,4.397901531490094407e-04
1.350000000000000089e+00,6.482857531472017987e-02,6.528906755485078262e-02,9.137817766455684776e-01,4.729243251023423997e-04
1.360000000000000098e+00,6.883356923461381172e-02,6.935711702328944961e-02,9.224940127371443754e-01,5.081100276150556268e-04
1.370000000000000107e+00,7.302762593539581515e-02,7.362054561356987104e-02,9.312758227343229667e-01,5.454454397537639816e-04
1.380000000000000115e+00,7.741594500396936640e-02,7.808498938529495614e-02,9.401280601141073223e-01,5.850317371339590865e-04
1.390000000000000124e+00,8.200363479545970391e-02,8.275600786186565472e-02,9.490515667583669934e-01,6.269730751117783040e-04
1.400000000000000133e+00,8.679569427707459206e-02,8.763906498360632402e-02,9.580471728533550557e-01,6.713765597625652969e-04
1.410000000000000142e+00,9.179699427436371906e-02,9.273950935615621338e-02,9.671156966099250241e-01,7.183522113782125776e-04
1.419999999999999929e+00,9.701225816566488858e-02,9.806255474053122978e-02,9.762579441599625873e-01,7.680129142076197544e-04
1.430000000000000160e+00,1.024460420714036479e-01,1.036132582519377898e-01,9.854747093548754666e-01,8.204743563666195552e-04
1.439999999999999947e+00,1.081027145915749860e-01,1.093964996843248133e-01,9.947667735745144846e-01,8.758549577731150702e-04
1.450000000000000178e+00,1.139864361503321322e-01,1.154169597981332812e-01,1.004134905606107075e+00,9.342757841901809263e-04
1.459999999999999964e+00,1.201011380090398484e-01,1.216790975024282379e-01,1.013579861468511201e+00,9.958604494217527386e-04
1.469999999999999973e+00,1.264505010157600251e-01,1.281871272991988164e-01,1.023102384253013586e+00,1.060735003885933826e-03
1.479999999999999982e+00,1.330379341627935252e-01,1.349449967069266121e-01,1.032703203966411021e+00,1.129027809459109445e-03
1.489999999999999991e+00,1.398665530286952730e-01,1.419563629608991684e-01,1.042383037406561908e+00,1.200869399363136553e-03
1.500000000000000000e+00,1.469391581851588469e-01,1.492245696443878222e-01,1.052142587996575784e+00,1.276392324788670025e-03
1.510000000000000009e+00,1.542582136535710358e-01,1.567526232929356556e-01,1.061982545659332811e+00,1.355730985804158226e-03
1.520000000000000018e+00,1.618258254992210876e-01,1.645431705529889765e-01,1.071903586651123508e+00,1.439021448750004567e-03
1.530000000000000027e+00,1.696437206568951195e-01,1.725984748948488356e-01,1.081906373467980131e+00,1.526401246397894856e-03
1.540000000000000036e+00,1.777132260803493957e-01,1.809203933069697401e-01,1.091991554667528952e+00,1.618009165913969743e-03
1.550000000000000044e+00,1.860352483171235083e-01,1.895103546799053740e-01,1.102159764753831706e+00,1.713985019871562196e-03
1.560000000000000053e+00,1.946102536083150203e-01,1.983693374243035989e-01,1.112411624053156523e+00,1.814469402614277398e-03
