T,F_channel,F_fitted_1param
1.500000000000000000e+00,1.365024167637552965e+00,1.110116385086214130e+00
1.510000000000000009e+00,1.403656945765982433e+00,1.138087344941342449e+00
1.520000000000000018e+00,1.424532739462911923e+00,1.151961122563490925e+00
1.530000000000000027e+00,1.445298629082520048e+00,1.165960219630097550e+00
1.540000000000000036e+00,1.465944498663648954e+00,1.180081031942224801e+00
1.550000000000000044e+00,1.486459917223143412e+00,1.194319410875362086e+00
1.560000000000000053e+00,1.506834132641629687e+00,1.208670657827906059e+00
1.570000000000000062e+00,1.527056066925843503e+00,1.223129519552185629e+00
1.580000000000000071e+00,1.547114313005485631e+00,1.237690184336055266e+00
1.590000000000000080e+00,1.566997133027835831e+00,1.252346279128168760e+00
1.600000000000000089e+00,1.586692458247947357e+00,1.267090867673955401e+00
1.610000000000000098e+00,1.606187890331159274e+00,1.281916449480105191e+00
1.620000000000000107e+00,1.625470704665702648e+00,1.296814959992799166e+00
1.629999999999999893e+00,1.644527855279135586e+00,1.311777771821725613e+00
1.640000000000000124e+00,1.663345981500764292e+00,1.326795697036899258e+00
1.649999999999999911e+00,1.681911416683477878e+00,1.341858990724958511e+00
1.659999999999999920e+00,1.700210198619850566e+00,1.356957355731829962e+00
1.669999999999999929e+00,1.718228081960232689e+00,1.372079948680473560e+00
1.679999999999999938e+00,1.735950552645463052e+00,1.387215387298883718e+00
1.689999999999999947e+00,1.753362844294294121e+00,1.402351759152184796e+00
1.699999999999999956e+00,1.770449956480807385e+00,1.417476631710637314e+00
1.709999999999999964e+00,1.787196675051137884e+00,1.432577063863908817e+00
1.719999999999999973e+00,1.803587594502366720e+00,1.447639618975805620e+00
1.729999999999999982e+00,1.819607142139721301e+00,1.462650379345095120e+00
1.739999999999999991e+00,1.835239604304518934e+00,1.477594962288872438e+00
1.750000000000000000e+00,1.850469154614309275e+00,1.492458537830231080e+00
1.760000000000000009e+00,1.865279883508998982e+00,1.507225847744547931e+00
1.770000000000000018e+00,1.879655830152728635e+00,1.521881226454460556e+00
1.780000000000000027e+00,1.893581015812654478e+00,1.536408623442862664e+00
1.790000000000000036e+00,1.907039478807665667e+00,1.550791627252816163e+00
1.800000000000000044e+00,1.920015310979458878e+00,1.565013491132543733e+00
1.810000000000000053e+00,1.932492695566717211e+00,1.579057160235684210e+00
1.820000000000000062e+00,1.944455946626376663e+00,1.592905300550121916e+00
1.830000000000000071e+00,1.955889549116931914e+00,1.606540329178694604e+00
1.840000000000000080e+00,1.966778200499728735e+00,1.619944446341959221e+00
1.850000000000000089e+00,1.977106852874363385e+00,1.633099668749729227e+00
1.859999999999999876e+00,1.986860755934036327e+00,1.645987864437829851e+00
1.870000000000000107e+00,1.996025500619789339e+00,1.658590789137514898e+00
1.879999999999999893e+00,2.004587062800696096e+00,1.670890123671316285e+00
1.890000000000000124e+00,2.012531847443495892e+00,1.682867512848338798e+00
1.899999999999999911e+00,2.019846732659223321e+00,1.694504605491379268e+00
1.910000000000000142e+00,2.026519113383816073e+00,1.705783095301488750e+00
1.919999999999999929e+00,2.032536944965186443e+00,1.716684763008838432e+00
1.929999999999999938e+00,2.037888785889766297e+00,1.727191519137171394e+00
1.939999999999999947e+00,2.042563839647845825e+00,1.737285447519827164e+00
1.949999999999999956e+00,2.046551995821235259e+00,1.746948849559607941e+00
1.959999999999999964e+00,2.049843869775687111e+00,1.756164288831978393e+00
1.969999999999999973e+00,2.052430840874860163e+00,1.764914636025643579e+00
1.979999999999999982e+00,2.054305089017725905e+00,1.773183113986729564e+00
1.989999999999999991e+00,2.055459629614635908e+00,1.780953342960012398e+00
2.000000000000000000e+00,2.055888346163411651e+00,1.788209385483349401e+00
2.009999999999999787e+00,2.055586020781408951e+00,1.794935790982947310e+00
2.020000000000000018e+00,2.054548362416030116e+00,1.801117640009384235e+00
2.030000000000000249e+00,2.052772032394801105e+00,1.806740587703427936e+00
2.040000000000000036e+00,2.050254667331055103e+00,1.811790906389485034e+00
2.049999999999999822e+00,2.046994899041121307e+00,1.816255527178864515e+00
2.060000000000000053e+00,2.042992371680310004e+00,1.820122080387887253e+00
2.070000000000000284e+00,2.038247755751995793e+00,1.823378934596582068e+00
2.080000000000000071e+00,2.032762758722916896e+00,1.826015234030329726e+00
2.089999999999999858e+00,2.026540132755832779e+00,1.828020934394823493e+00
2.100000000000000089e+00,2.019583678770329627e+00,1.829386836676451189e+00
2.109999999999999876e+00,2.011898247283365304e+00,1.830104618920926685e+00
2.120000000000000107e+00,2.003489735863063004e+00,1.830166865826844402e+00
2.129999999999999893e+00,1.994365083254637572e+00,1.829567096061627485e+00
