T,F_channel,F_fitted_1param
1.500000000000000000e+00,1.397764305340766011e+00,1.099887403417237453e+00
1.510000000000000009e+00,1.439161896685263509e+00,1.128213879311320333e+00
1.520000000000000018e+00,1.462371748282893513e+00,1.143710594962334293e+00
1.530000000000000027e+00,1.485586899498789748e+00,1.159404706411240937e+00
1.540000000000000036e+00,1.508800440966826750e+00,1.175297685776859336e+00
1.550000000000000044e+00,1.532005095466629552e+00,1.191390629185943739e+00
1.560000000000000053e+00,1.555193202753475390e+00,1.207684237423754192e+00
1.570000000000000062e+00,1.578356705574987418e+00,1.224178796548698323e+00
1.580000000000000071e+00,1.601487136977935322e+00,1.240874158555238971e+00
1.590000000000000080e+00,1.624575609008573229e+00,1.257769722198171403e+00
1.600000000000000089e+00,1.647612802893038575e+00,1.274864413963044951e+00
1.610000000000000098e+00,1.670588960795113209e+00,1.292156669312793493e+00
1.620000000000000107e+00,1.693493879254166723e+00,1.309644414357492570e+00
1.629999999999999893e+00,1.716316904366143481e+00,1.327325047867402574e+00
1.640000000000000124e+00,1.739046928814471205e+00,1.345195423894039344e+00
1.649999999999999911e+00,1.761672390819242651e+00,1.363251835020929059e+00
1.659999999999999920e+00,1.784181275069046002e+00,1.381489996293208566e+00
1.669999999999999929e+00,1.806561115716847521e+00,1.399905030026777908e+00
1.679999999999999938e+00,1.828799001484980646e+00,1.418491451515073276e+00
1.689999999999999947e+00,1.850881582941657610e+00,1.437243155784304616e+00
1.699999999999999956e+00,1.872795081987218113e+00,1.456153405494040376e+00
1.709999999999999964e+00,1.894525303577706099e+00,1.475214820058383447e+00
1.719999999999999973e+00,1.916057649728451828e+00,1.494419366153662443e+00
1.729999999999999982e+00,1.937377135797641703e+00,1.513758349669749537e+00
1.739999999999999991e+00,1.958468409049408221e+00,1.533222409193495395e+00
1.750000000000000000e+00,1.979315769517990597e+00,1.552801511227515086e+00
1.760000000000000009e+00,1.999903193126358003e+00,1.572484947144743073e+00
1.770000000000000018e+00,2.020214357030095442e+00,1.592261331973214400e+00
1.780000000000000027e+00,2.040232667169529446e+00,1.612118605205554500e+00
1.790000000000000036e+00,2.059941287952257394e+00,1.632044033635768665e+00
1.800000000000000044e+00,2.079323174008545827e+00,1.652024216341667184e+00
1.810000000000000053e+00,2.098361103934530014e+00,1.672045091879488909e+00
1.820000000000000062e+00,2.117037715934856568e+00,1.692091947768396665e+00
1.830000000000000071e+00,2.135335545266869861e+00,1.712149432361449675e+00
1.840000000000000080e+00,2.153237063347565705e+00,1.732201569096529337e+00
1.850000000000000089e+00,2.170724718409228871e+00,1.752231773209315113e+00
1.859999999999999876e+00,2.187780977575212837e+00,1.772222870995580735e+00
1.870000000000000107e+00,2.204388370175563328e+00,1.792157121575613576e+00
1.879999999999999893e+00,2.220529532143423523e+00,1.812016241172572428e+00
1.890000000000000124e+00,2.236187251334014192e+00,1.831781429956909513e+00
1.899999999999999911e+00,2.251344513592377972e+00,1.851433401490906183e+00
1.910000000000000142e+00,2.265984549341756971e+00,1.870952414626523064e+00
1.919999999999999929e+00,2.280090880515449392e+00,1.890318307887331573e+00
1.929999999999999938e+00,2.293647367641908019e+00,1.909510536320743190e+00
1.939999999999999947e+00,2.306638256853414504e+00,1.928508210709107162e+00
1.949999999999999956e+00,2.319048226613611874e+00,1.947290139079998150e+00
1.959999999999999964e+00,2.330862433932893829e+00,1.965834870373244669e+00
1.969999999999999973e+00,2.342066559885102262e+00,1.984120740248363823e+00
1.979999999999999982e+00,2.352646854184765157e+00,2.002125918840504060e+00
1.989999999999999991e+00,2.362590178615716852e+00,2.019828460339698761e+00
2.000000000000000000e+00,2.371884049106350645e+00,2.037206354259911034e+00
2.009999999999999787e+00,2.380516676212804938e+00,2.054237578159224586e+00
2.020000000000000018e+00,2.388477003872985893e+00,2.070900151772539388e+00
2.030000000000000249e+00,2.395754746186138817e+00,2.087172192247205960e+00
2.040000000000000036e+00,2.402340422004922260e+00,2.103031970230984538e+00
2.049999999999999822e+00,2.408225387266694106e+00,2.118457966796293057e+00
2.060000000000000053e+00,2.413401864798911500e+00,2.133428930761429587e+00
2.070000000000000284e+00,2.417862971514969317e+00,2.147923936316721516e+00
2.080000000000000071e+00,2.421602742809676911e+00,2.161922440611838248e+00
2.089999999999999858e+00,2.424616154063021778e+00,2.175404341110219519e+00
2.100000000000000089e+00,2.426899139182609133e+00,2.188350032517947685e+00
2.109999999999999876e+00,2.428448605985385811e+00,2.200740462849488210e+00
2.120000000000000107e+00,2.429262448477572001e+00,2.212557188594855617e+00
2.129999999999999893e+00,2.429339555877303880e+00,2.223782428560650004e+00
2.140000000000000124e+00,2.428679818369812615e+00,2.234399116188879209e+00
2.149999999999999911e+00,2.427284129638532573e+00,2.244390950191550882e+00
2.160000000000000142e+00,2.425154386037327914e+00,2.253742443040005483e+00
2.169999999999999929e+00,2.422293482560541555e+00,2.262438967327658812e+00
2.180000000000000160e+00,2.418705305564128771e+00,2.270466799603420238e+00
2.189999999999999947e+00,2.414394722271917093e+00,2.277813161457093560e+00
2.200000000000000178e+00,2.409367567258941190e+00,2.284466257865769290e+00
2.209999999999999964e+00,2.403630625826250977e+00,2.290415312295750905e+00
2.219999999999999751e+00,2.397191614469161181e+00,2.295650598585975644e+00
2.229999999999999982e+00,2.390059158581428811e+00,2.300163469495827950e+00
2.240000000000000213e+00,2.382242767439136433e+00,2.303946381612331784e+00
2.250000000000000000e+00,2.373752806629776391e+00,2.306992916583159303e+00
2.259999999999999787e+00,2.364600468166951241e+00,2.309297798681533731e+00
2.270000000000000018e+00,2.354797738296237952e+00,2.310856908386710096e+00
2.280000000000000249e+00,2.344357363290087370e+00,2.311667292135040519e+00
2.290000000000000036e+00,2.333292813395177578e+00,2.311727168163456358e+00
2.299999999999999822e+00,2.321618245057528895e+00,2.311035928348722734e+00
2.310000000000000053e+00,2.309348461637818151e+00,2.309594136096417838e+00
2.320000000000000284e+00,2.296498872864198848e+00,2.307403520388157769e+00
2.330000000000000071e+00,2.283085453172445156e+00,2.304466965952780999e+00
2.339999999999999858e+00,2.269124699096784603e+00,2.300788499623247940e+00
2.350000000000000089e+00,2.254633585990519329e+00,2.296373273073817334e+00
2.359999999999999876e+00,2.239629524169373553e+00,2.291227541911170729e+00
2.370000000000000107e+00,2.224130314825908616e+00,2.285358641477846398e+00
2.379999999999999893e+00,2.208154105694168479e+00,2.278774959223707430e+00
2.390000000000000124e+00,2.191719346788064460e+00,2.271485904021098623e+00
2.399999999999999911e+00,2.174844746380028226e+00,2.263501872577222240e+00
2.410000000000000142e+00,2.157549227336973185e+00,2.254834213077333782e+00
2.419999999999999929e+00,2.139851884013327155e+00,2.245495186316103453e+00
2.430000000000000160e+00,2.121771939812344243e+00,2.235497924477403142e+00
2.439999999999999947e+00,2.103328705619553318e+00,2.224856387857848450e+00
2.450000000000000178e+00,2.084541539166687052e+00,2.213585319692871867e+00
2.459999999999999964e+00,2.065429805547044584e+00,2.201700199409683645e+00
2.469999999999999751e+00,2.046012838895441721e+00,2.189217194441542613e+00
2.479999999999999982e+00,2.026309905383087084e+00,2.176153110899127885e+00
2.490000000000000213e+00,2.006340167581357914e+00,2.162525343283437707e+00
2.500000000000000000e+00,1.986122650390659938e+00,2.148351823625652468e+00
2.509999999999999787e+00,1.965676208457980856e+00,2.133650970104507660e+00
2.520000000000000018e+00,1.945019495203355264e+00,2.118441635444593629e+00
2.530000000000000249e+00,1.924170933545177320e+00,2.102743055359095337e+00
2.540000000000000036e+00,1.903148688251992571e+00,2.086574797129248093e+00
2.549999999999999822e+00,1.881970640112312854e+00,2.069956708713200477e+00
2.560000000000000053e+00,1.860654361792283495e+00,2.052908868400974640e+00
2.570000000000000284e+00,1.839217095428281379e+00,2.035451535247802202e+00
2.580000000000000071e+00,1.817675732070833439e+00,2.017605100591858935e+00
2.589999999999999858e+00,1.796046792766987643e+00,1.999390040580069527e+00
2.600000000000000089e+00,1.774346411440137494e+00,1.980826870049299471e+00
2.610000000000000320e+00,1.752590319480904713e+00,1.961936097824934944e+00
2.620000000000000107e+00,1.730793832000898647e+00,1.942738183542870312e+00
2.629999999999999893e+00,1.708971835798772432e+00,1.923253496189648359e+00
2.640000000000000124e+00,1.687138778838482178e+00,1.903502274285114204e+00
2.650000000000000355e+00,1.665308661404655721e+00,1.883504588022519632e+00
2.660000000000000142e+00,1.643495028669303082e+00,1.863280303193460830e+00
2.669999999999999929e+00,1.621710964808053212e+00,1.842849047172742560e+00
2.679999999999999716e+00,1.599969088529891170e+00,1.822230176909357402e+00
2.689999999999999947e+00,1.578281549872367240e+00,1.801442748871071142e+00
2.700000000000000178e+00,1.556660028366074755e+00,1.780505491134003693e+00
2.709999999999999964e+00,1.535115732380699427e+00,1.759436777498067039e+00
2.719999999999999751e+00,1.513659399689435858e+00,1.738254603733913495e+00
2.729999999999999982e+00,1.492301299083627297e+00,1.716976565839813285e+00
2.740000000000000213e+00,1.471051233036118511e+00,1.695619840359571917e+00
2.750000000000000000e+00,1.449918541268058858e+00,1.674201166650188144e+00
2.759999999999999787e+00,1.428912105360712781e+00,1.652736831278742935e+00
2.770000000000000018e+00,1.408040354072984890e+00,1.631242654215969923e+00
2.780000000000000249e+00,1.387311269442146333e+00,1.609733976933556576e+00
2.790000000000000036e+00,1.366732393695510250e+00,1.588225652431169532e+00
2.799999999999999822e+00,1.346310836653686005e+00,1.566732036878038858e+00
2.810000000000000053e+00,1.326053283851957865e+00,1.545266983093166679e+00
2.820000000000000284e+00,1.305966005132368046e+00,1.523843835599407726e+00
2.830000000000000071e+00,1.286054863645513135e+00,1.502475427186175549e+00
2.839999999999999858e+00,1.266325325420804893e+00,1.481174077108635689e+00
2.850000000000000089e+00,1.246782469151516359e+00,1.459951590550997214e+00
2.860000000000000320e+00,1.227430996311744904e+00,1.438819259449381605e+00
2.870000000000000107e+00,1.208275241673647971e+00,1.417787864696402389e+00
2.879999999999999893e+00,1.189319183823857706e+00,1.396867679312145727e+00
2.890000000000000124e+00,1.170566456024372037e+00,1.376068472876970095e+00
2.900000000000000355e+00,1.152020357177041321e+00,1.355399516950879235e+00
2.910000000000000142e+00,1.133683862763573469e+00,1.334869591323003535e+00
2.919999999999999929e+00,1.115559636015065914e+00,1.314486991286857309e+00
2.929999999999999716e+00,1.097650039006646372e+00,1.294259535609875611e+00
2.939999999999999947e+00,1.079957143670421171e+00,1.274194575149356634e+00
2.950000000000000178e+00,1.062482742984141915e+00,1.254299002315581557e+00
2.959999999999999964e+00,1.045228361919806837e+00,1.234579260941071066e+00
2.969999999999999751e+00,1.028195268281669073e+00,1.215041356643840276e+00
2.979999999999999982e+00,1.011384483589646832e+00,1.195690867780840883e+00
2.990000000000000213e+00,9.947967937023500795e-01,1.176532956666595409e+00
3.000000000000000000e+00,9.784327592990484934e-01,1.157572381130690609e+00
3.009999999999999787e+00,9.622927262381286706e-01,1.138813506383851148e+00
3.020000000000000018e+00,9.463768357254116470e-01,1.120260317097503178e+00
3.030000000000000249e+00,9.306850342078565319e-01,1.101916429583339241e+00
3.040000000000000036e+00,9.152170831462789202e-01,1.083785104171039571e+00
3.049999999999999822e+00,8.999725685307882195e-01,1.065869257630467137e+00
3.060000000000000053e+00,8.849509101685963941e-01,1.048171475632380334e+00
3.070000000000000284e+00,8.701513707077970228e-01,1.030694025180398210e+00
3.080000000000000071e+00,8.555730644552624886e-01,1.013438867039754721e+00
3.089999999999999858e+00,8.412149659610157482e-01,9.964076681065729968e-01
3.100000000000000089e+00,8.270759182704587875e-01,9.796018136080013594e-01
3.110000000000000320e+00,8.131546409925388685e-01,9.630224192349090551e-01
3.120000000000000107e+00,7.994497381058804919e-01,9.466703431154059878e-01
3.129999999999999893e+00,7.859597054744735800e-01,9.305461975880658931e-01
3.140000000000000124e+00,7.726829380918618373e-01,9.146503607665475988e-01
3.150000000000000355e+00,7.596177371363063147e-01,8.989829879438142601e-01
3.160000000000000142e+00,7.467623167333200529e-01,8.835440227416733183e-01
3.169999999999999929e+00,7.341148104305588173e-01,8.683332079830937689e-01
3.179999999999999716e+00,7.216732774605880696e-01,8.533500963434522690e-01
3.189999999999999947e+00,7.094357087506009130e-01,8.385940607321651363e-01
3.200000000000000178e+00,6.974000326708930109e-01,8.240643043808268953e-01
3.209999999999999964e+00,6.855641205641599401e-01,8.097598706741589991e-01
3.219999999999999751e+00,6.739257920376695576e-01,7.956796526847270679e-01
3.229999999999999982e+00,6.624828199877801360e-01,7.818224023906535924e-01
3.240000000000000213e+00,6.512329354314632113e-01,7.681867396259642877e-01
3.250000000000000000e+00,6.401738321419764288e-01,7.547711607516081056e-01
3.259999999999999787e+00,6.293031709904368665e-01,7.415740469667206902e-01
3.270000000000000018e+00,6.186185841133209351e-01,7.285936723569683693e-01
3.280000000000000249e+00,6.081176789605333699e-01,7.158282117046547155e-01
3.290000000000000036e+00,5.977980419814816759e-01,7.032757478809178453e-01
3.299999999999999822e+00,5.876572422264091378e-01,6.909342790373571574e-01
3.310000000000000053e+00,5.776928347922827278e-01,6.788017255203248057e-01
3.320000000000000284e+00,5.679023639686998637e-01,6.668759364198407757e-01
3.330000000000000071e+00,5.582833663062980456e-01,6.551546959112320989e-01
3.339999999999999858e+00,5.488333734525167040e-01,6.436357292701700983e-01
3.350000000000000089e+00,5.395499148881769402e-01,6.323167086706966700e-01
3.360000000000000320e+00,5.304305204830708220e-01,6.211952587017776084e-01
3.370000000000000107e+00,5.214727228295328310e-01,6.102689615707864723e-01
3.379999999999999893e+00,5.126740595609775575e-01,5.995353621537063971e-01
3.390000000000000124e+00,5.040320754224729694e-01,5.889919727235896074e-01
3.400000000000000355e+00,4.955443242263439241e-01,5.786362774534706821e-01
3.410000000000000142e+00,4.872083707644289108e-01,5.684657367504396541e-01
3.419999999999999929e+00,4.790217924793166437e-01,5.584777912795485522e-01
3.429999999999999716e+00,4.709821810328665981e-01,5.486698657852178140e-01
3.439999999999999947e+00,4.630871438734532886e-01,5.390393727812615721e-01
3.450000000000000178e+00,4.553343055928066874e-01,5.295837159638686620e-01
3.459999999999999964e+00,4.477213091513825294e-01,5.203002934096487841e-01
3.469999999999999751e+00,4.402458171079272620e-01,5.111865006588354188e-01
3.479999999999999982e+00,4.329055127249018531e-01,5.022397335938366680e-01
3.490000000000000213e+00,4.256981009024404239e-01,4.934573910850334477e-01
3.500000000000000000e+00,4.207348358539013677e-01,4.873634993387341852e-01
