T,F_channel,F_fitted_1param
1.500000000000000000e+00,1.331536393645737171e+00,1.100103017654249671e+00
1.510000000000000009e+00,1.366551823964021972e+00,1.123332352238223031e+00
1.520000000000000018e+00,1.384595607324076383e+00,1.131907558676515047e+00
1.530000000000000027e+00,1.402376942274716765e+00,1.140345364460236821e+00
1.540000000000000036e+00,1.419881761157179900e+00,1.148639639390987899e+00
1.550000000000000044e+00,1.437095831090851039e+00,1.156784118058480360e+00
1.560000000000000053e+00,1.454004764056879839e+00,1.164772412073126651e+00
1.570000000000000062e+00,1.470594028369838435e+00,1.172598022442452814e+00
1.580000000000000071e+00,1.486848961650515832e+00,1.180254352173719212e+00
1.590000000000000080e+00,1.502754785051023001e+00,1.187734718909503551e+00
1.600000000000000089e+00,1.518296618941401999e+00,1.195032367752323799e+00
1.610000000000000098e+00,1.533459500281109333e+00,1.202140484456290404e+00
1.620000000000000107e+00,1.548228401007072819e+00,1.209052208471110390e+00
1.629999999999999893e+00,1.562588248166820959e+00,1.215760646381617516e+00
1.640000000000000124e+00,1.576523945558597539e+00,1.222258885641752446e+00
1.649999999999999911e+00,1.590020396555565929e+00,1.228540008375371473e+00
1.659999999999999920e+00,1.603062528558280020e+00,1.234597105528302929e+00
1.669999999999999929e+00,1.615635318747028704e+00,1.240423291314348919e+00
1.679999999999999938e+00,1.627723821328317610e+00,1.246011718020942682e+00
1.689999999999999947e+00,1.639313195989931415e+00,1.251355591065317130e+00
1.699999999999999956e+00,1.650388737773943904e+00,1.256448184522771516e+00
1.709999999999999964e+00,1.660935908156971896e+00,1.261282857035181282e+00
1.719999999999999973e+00,1.670940367298817897e+00,1.265853068138307336e+00
1.729999999999999982e+00,1.680388007515945636e+00,1.270152395076994845e+00
1.739999999999999991e+00,1.689264987804729001e+00,1.274174550148602814e+00
1.750000000000000000e+00,1.697557769206214040e+00,1.277913398452670268e+00
1.760000000000000009e+00,1.705253151153752533e+00,1.281362976231085415e+00
1.770000000000000018e+00,1.712338308701843337e+00,1.284517509833293936e+00
1.780000000000000027e+00,1.718800830279072711e+00,1.287371435135232334e+00
1.790000000000000036e+00,1.724628756047386080e+00,1.289919417567775728e+00
1.800000000000000044e+00,1.729810616700107717e+00,1.292156372716348089e+00
1.810000000000000053e+00,1.734335472564094482e+00,1.294077487486623657e+00
1.820000000000000062e+00,1.738192952801721258e+00,1.295678241823995824e+00
1.830000000000000071e+00,1.741373294701426877e+00,1.296954430990342022e+00
1.840000000000000080e+00,1.743867382625978513e+00,1.297902188256311540e+00
1.850000000000000089e+00,1.745666786851318264e+00,1.298518008213275232e+00
1.859999999999999876e+00,1.746763801648969938e+00,1.298798770318787765e+00
1.870000000000000107e+00,1.747151482979806936e+00,1.298741763031873608e+00
1.879999999999999893e+00,1.746823685008553673e+00,1.298344708044536500e+00
1.890000000000000124e+00,1.745775095574806146e+00,1.297605784715115673e+00
1.899999999999999911e+00,1.744001270836230688e+00,1.296523654938576575e+00
1.910000000000000142e+00,1.741498667877393602e+00,1.295097487647050905e+00
1.919999999999999929e+00,1.738264675979965590e+00,1.293326983383745077e+00
1.929999999999999938e+00,1.734297646076525146e+00,1.291212398740325673e+00
1.939999999999999947e+00,1.729596917918278631e+00,1.288754570185415949e+00
1.949999999999999956e+00,1.724162845466191474e+00,1.285954937654905761e+00
1.959999999999999964e+00,1.717996819377265894e+00,1.282815567232659770e+00
1.969999999999999973e+00,1.711101287213170785e+00,1.279339173014760744e+00
1.979999999999999982e+00,1.703479770773989488e+00,1.275529137902879695e+00
1.989999999999999991e+00,1.695136880473874008e+00,1.271389533117607273e+00
2.000000000000000000e+00,1.686078326858765797e+00,1.266925136286773279e+00
2.009999999999999787e+00,1.676310928558174762e+00,1.262141447658738036e+00
2.020000000000000018e+00,1.665842617165342876e+00,1.257044704469743257e+00
2.030000000000000249e+00,1.654682438443516590e+00,1.251641893007356510e+00
2.040000000000000036e+00,1.642840550171398295e+00,1.245940758365015943e+00
2.049999999999999822e+00,1.630328216247951323e+00,1.239949811355213871e+00
2.060000000000000053e+00,1.617157796955299265e+00,1.233678332446684900e+00
2.070000000000000284e+00,1.603342735707207645e+00,1.227136372568488953e+00
2.080000000000000071e+00,1.588897541780754263e+00,1.220334750317991102e+00
2.089999999999999858e+00,1.573837769373925832e+00,1.213285045495974046e+00
2.100000000000000089e+00,1.558179992890909249e+00,1.205999588694949276e+00
2.109999999999999876e+00,1.541941778320788936e+00,1.198491446539942995e+00
2.120000000000000107e+00,1.525141651224192207e+00,1.190774402721963998e+00
2.129999999999999893e+00,1.507799060860210094e+00,1.182862934269423461e+00
2.140000000000000124e+00,1.489934340645657773e+00,1.174772182885381211e+00
2.149999999999999911e+00,1.471568665614872762e+00,1.166517921634500965e+00
2.160000000000000142e+00,1.452724006534488854e+00,1.158116516510838911e+00
2.169999999999999929e+00,1.433423080437683739e+00,1.149584882482958426e+00
2.180000000000000160e+00,1.413689298961006813e+00,1.140940434869842202e+00
2.189999999999999947e+00,1.393546713488631683e+00,1.132201035206643613e+00
2.200000000000000178e+00,1.373019957780947653e+00,1.123384931845740065e+00
2.209999999999999964e+00,1.352134188683455918e+00,1.114510695755853487e+00
2.219999999999999751e+00,1.330915024339301755e+00,1.105597151109098286e+00
2.229999999999999982e+00,1.309388481042878638e+00,1.096663301271181723e+00
2.240000000000000213e+00,1.287580908301004801e+00,1.087728250098594085e+00
2.250000000000000000e+00,1.265518922884265818e+00,1.078811119212228053e+00
2.259999999999999787e+00,1.243229341796143306e+00,1.069930961224164090e+00
2.270000000000000018e+00,1.220739114639900258e+00,1.061106669566046268e+00
2.280000000000000249e+00,1.198075255826292373e+00,1.052356885484957649e+00
2.290000000000000036e+00,1.175264776396961031e+00,1.043699902341471919e+00
2.299999999999999822e+00,1.152334616420516822e+00,1.035153568250921419e+00
2.310000000000000053e+00,1.129311577945018019e+00,1.026735187540073202e+00
2.320000000000000284e+00,1.106222258620674026e+00,1.018461421521413390e+00
2.330000000000000071e+00,1.083092986593189089e+00,1.010348189586671497e+00
2.339999999999999858e+00,1.059949756936052756e+00,1.002410571347508661e+00
2.350000000000000089e+00,1.036818169659072808e+00,9.946627104742288283e-01
2.359999999999999876e+00,1.013723369682967945e+00,9.871177211609560853e-01
2.370000000000000107e+00,9.906899892534360985e-01,9.797875981904141662e-01
2.379999999999999893e+00,9.677420926284562297e-01,9.726831312778628780e-01
2.390000000000000124e+00,9.449031234580947958e-01,9.658138245095631014e-01
2.399999999999999911e+00,9.221958551867538434e-01,9.591878219601880362e-01
2.410000000000000142e+00,8.996423444740622166e-01,9.528118401666866299e-01
2.419999999999999929e+00,8.772638877976856042e-01,9.466911081803378591e-01
2.430000000000000160e+00,8.550809815196762642e-01,9.408293160974882108e-01
2.439999999999999947e+00,8.331132855391993886e-01,9.352285727622609013e-01
2.450000000000000178e+00,8.113795903597866843e-01,9.298893730715784844e-01
2.459999999999999964e+00,7.898977880820711173e-01,9.248105757913215319e-01
2.469999999999999751e+00,7.686848469895858349e-01,9.199893920079447174e-01
2.479999999999999982e+00,7.477567900221093744e-01,9.154213848857641889e-01
2.490000000000000213e+00,7.271286770844564984e-01,9.111004809506380031e-01
2.500000000000000000e+00,7.068145910732942516e-01,9.070189929575480647e-01
2.509999999999999787e+00,6.868276277900035032e-01,9.031676546396005811e-01
