T,F_channel,F_fitted_1param
1.500000000000000000e+00,1.405892322096884417e+00,1.308585557803477961e+00
1.510000000000000009e+00,1.448419809230859556e+00,1.347298562632188057e+00
1.520000000000000018e+00,1.472090964115217560e+00,1.368465563857753642e+00
1.530000000000000027e+00,1.495782299002357485e+00,1.389701391529309271e+00
1.540000000000000036e+00,1.519486968263273896e+00,1.410996462803468798e+00
1.550000000000000044e+00,1.543197735929654257e+00,1.432340726005634446e+00
1.560000000000000053e+00,1.566906959613066253e+00,1.453723674682378064e+00
1.570000000000000062e+00,1.590606575484517782e+00,1.475134363290310446e+00
1.580000000000000071e+00,1.614288084652910182e+00,1.496561424348711089e+00
1.590000000000000080e+00,1.637942540983879702e+00,1.517993087012792230e+00
1.600000000000000089e+00,1.661560540381557871e+00,1.539417197104920643e+00
1.610000000000000098e+00,1.685132211783477274e+00,1.560821238463546701e+00
1.620000000000000107e+00,1.708647209706187331e+00,1.582192355499712821e+00
1.629999999999999893e+00,1.732094708738879607e+00,1.603517377056506543e+00
1.640000000000000124e+00,1.755463399660798673e+00,1.624782841255816734e+00
1.649999999999999911e+00,1.778741488064776721e+00,1.645975021569426211e+00
1.659999999999999920e+00,1.801916694598013624e+00,1.667079953816727134e+00
1.669999999999999929e+00,1.824976257159969695e+00,1.688083463866120848e+00
1.679999999999999938e+00,1.847906935723719224e+00,1.708971196333902487e+00
1.689999999999999947e+00,1.870695019341948928e+00,1.729728643993448500e+00
1.699999999999999956e+00,1.893326335131224614e+00,1.750341177643312207e+00
1.709999999999999964e+00,1.915786259615526843e+00,1.770794076526285510e+00
1.719999999999999973e+00,1.938059732869487961e+00,1.791072559280244114e+00
1.729999999999999982e+00,1.960131274469194107e+00,1.811161814990817076e+00
1.739999999999999991e+00,1.981985002070385082e+00,1.831047034570807863e+00
1.750000000000000000e+00,2.003604652455899249e+00,1.850713442178175017e+00
1.760000000000000009e+00,2.024973604696998386e+00,1.870146326584691598e+00
1.770000000000000018e+00,2.046074906026873919e+00,1.889331072557779656e+00
1.780000000000000027e+00,2.066891299357805245e+00,1.908253191666192894e+00
1.790000000000000036e+00,2.087405253596852361e+00,1.926898353012753917e+00
1.800000000000000044e+00,2.107598996274048897e+00,1.945252413590467633e+00
1.810000000000000053e+00,2.127454547544968211e+00,1.963301447701179425e+00
1.820000000000000062e+00,2.146953756557202553e+00,1.981031775868723255e+00
1.830000000000000071e+00,2.166078340234157018e+00,1.998429993208930444e+00
1.840000000000000080e+00,2.184809922978606878e+00,2.015482996566148266e+00
1.850000000000000089e+00,2.203130078393170432e+00,2.032178010789774447e+00
1.859999999999999876e+00,2.221020372830027068e+00,2.048502614108850484e+00
1.870000000000000107e+00,2.238462409671075459e+00,2.064444762128518907e+00
1.879999999999999893e+00,2.255437875123123881e+00,2.079992810611658083e+00
1.890000000000000124e+00,2.271928585343140128e+00,2.095135537245837121e+00
1.899999999999999911e+00,2.287916533846508393e+00,2.109862161689970872e+00
1.910000000000000142e+00,2.303383939342590558e+00,2.124162364078586496e+00
1.919999999999999929e+00,2.318313295200150392e+00,2.138026302661778733e+00
1.929999999999999938e+00,2.332687417854018008e+00,2.151444629220138793e+00
1.939999999999999947e+00,2.346489495666367553e+00,2.164408503125452299e+00
1.949999999999999956e+00,2.359703137953882202e+00,2.176909603969486628e+00
1.959999999999999964e+00,2.372312422839856438e+00,2.188940142167666192e+00
1.969999999999999973e+00,2.384301945238891385e+00,2.200492868332448282e+00
1.979999999999999982e+00,2.395656863254223445e+00,2.211561080517333355e+00
1.989999999999999991e+00,2.406362943895326456e+00,2.222138630034433238e+00
2.000000000000000000e+00,2.416406607543962526e+00,2.232219925712834563e+00
2.009999999999999787e+00,2.425774970654585250e+00,2.241799936210832733e+00
2.020000000000000018e+00,2.434455886456562634e+00,2.250874190704906574e+00
2.030000000000000249e+00,2.442437984217486591e+00,2.259438778135475445e+00
2.040000000000000036e+00,2.449710706630989332e+00,2.267490345077606939e+00
2.049999999999999822e+00,2.456264343647200477e+00,2.275026091332528644e+00
2.060000000000000053e+00,2.462090064986176774e+00,2.282043764712066825e+00
2.070000000000000284e+00,2.467179949696795660e+00,2.288541654279275139e+00
2.080000000000000071e+00,2.471527012642981358e+00,2.294518581944278601e+00
2.089999999999999858e+00,2.475125228221279450e+00,2.299973892930407882e+00
2.100000000000000089e+00,2.477969551108722079e+00,2.304907444997763566e+00
2.109999999999999876e+00,2.480055933958329906e+00,2.309319596614805903e+00
2.120000000000000107e+00,2.481381341449237610e+00,2.313211193717342518e+00
2.129999999999999893e+00,2.481943761579702645e+00,2.316583555848540144e+00
2.140000000000000124e+00,2.481742213216191040e+00,2.319438461086609671e+00
2.149999999999999911e+00,2.480776750550134135e+00,2.321778130318955302e+00
2.160000000000000142e+00,2.479048463886172726e+00,2.323605210605413252e+00
2.169999999999999929e+00,2.476559477797023678e+00,2.324922758295523639e+00
2.180000000000000160e+00,2.473312944845053707e+00,2.325734220944066344e+00
2.189999999999999947e+00,2.469313036809754003e+00,2.326043419168950521e+00
2.200000000000000178e+00,2.464564932873894776e+00,2.325854528330281834e+00
2.209999999999999964e+00,2.459074803705329160e+00,2.325172059206234820e+00
2.219999999999999751e+00,2.452849793726494809e+00,2.324000839286639142e+00
2.229999999999999982e+00,2.445897999310172821e+00,2.322345993213831949e+00
2.240000000000000213e+00,2.438228444956804797e+00,2.320212923635241342e+00
2.250000000000000000e+00,2.429851056719772640e+00,2.317607292078077030e+00
2.259999999999999787e+00,2.420776632659104699e+00,2.314534999597028353e+00
2.270000000000000018e+00,2.411016811523960968e+00,2.311002168001325074e+00
2.280000000000000249e+00,2.400584038935621223e+00,2.307015121153638493e+00
2.290000000000000036e+00,2.389491531458561635e+00,2.302580366399248124e+00
2.299999999999999822e+00,2.377753239381458883e+00,2.297704576838570656e+00
2.310000000000000053e+00,2.365383807211740574e+00,2.292394573517026135e+00
2.320000000000000284e+00,2.352398533337329845e+00,2.286657308538933453e+00
2.330000000000000071e+00,2.338813328252861368e+00,2.280499848525576301e+00
2.339999999999999858e+00,2.324644671471306712e+00,2.273929358472615458e+00
2.350000000000000089e+00,2.309909567990621415e+00,2.266953086506333648e+00
2.359999999999999876e+00,2.294625504004113914e+00,2.259578349102919770e+00
2.370000000000000107e+00,2.278810402505395238e+00,2.251812517417145276e+00
2.379999999999999893e+00,2.262482577716497190e+00,2.243663003394761990e+00
2.390000000000000124e+00,2.245660690494842626e+00,2.235137247485902368e+00
2.399999999999999911e+00,2.228363703468373203e+00,2.226242706817403771e+00
2.410000000000000142e+00,2.210610836199561113e+00,2.216986843854399591e+00
2.419999999999999929e+00,2.192421521309387167e+00,2.207377116211226120e+00
2.430000000000000160e+00,2.173815360846414801e+00,2.197420966902843720e+00
2.439999999999999947e+00,2.154812083646867826e+00,2.187125815603865320e+00
2.450000000000000178e+00,2.135431503478463000e+00,2.176499050414161029e+00
2.459999999999999964e+00,2.115693478113144455e+00,2.165548020390598349e+00
2.469999999999999751e+00,2.095617869944302214e+00,2.154280029120155593e+00
2.479999999999999982e+00,2.075224507650866634e+00,2.142702328783286259e+00
2.490000000000000213e+00,2.054533148840607559e+00,2.130822114599731698e+00
2.500000000000000000e+00,2.033563444844843637e+00,2.118646520584067883e+00
2.509999999999999787e+00,2.012334906650589783e+00,2.106182615627005372e+00
2.520000000000000018e+00,1.990866872369392304e+00,2.093437400148131289e+00
2.530000000000000249e+00,1.969178476402154931e+00,2.080417803398165510e+00
2.540000000000000036e+00,1.947288620404162396e+00,2.067130681487945765e+00
2.549999999999999822e+00,1.925215945921773697e+00,2.053582815922115223e+00
2.560000000000000053e+00,1.902978808662856292e+00,2.039780912528965651e+00
2.570000000000000284e+00,1.880595254621298507e+00,2.025731601017350503e+00
2.580000000000000071e+00,1.858082997947515302e+00,2.011441434978854303e+00
2.589999999999999858e+00,1.835459400592383217e+00,1.996916892320251824e+00
2.600000000000000089e+00,1.812741453667130909e+00,1.982164376099774472e+00
2.610000000000000320e+00,1.789945760466557623e+00,1.967190215650455931e+00
2.620000000000000107e+00,1.767088521493429765e+00,1.952000668365459379e+00
2.629999999999999893e+00,1.744185520701152736e+00,1.936601921305146634e+00
2.640000000000000124e+00,1.721252113759215607e+00,1.921000093513336893e+00
2.650000000000000355e+00,1.698303217891178551e+00,1.905201238573055234e+00
