T,F_channel,F_fitted_1param
1.500000000000000000e+00,2.158703955227379290e-01,2.202003396657680745e-01
1.510000000000000009e+00,2.278583506528402136e-01,2.326928174411071193e-01
1.520000000000000018e+00,2.376100427523180070e-01,2.428170853427293330e-01
1.530000000000000027e+00,2.476251470821531631e-01,2.532059762556128635e-01
1.540000000000000036e+00,2.579029612064426269e-01,2.638577633982269743e-01
1.550000000000000044e+00,2.684423052159237155e-01,2.747702236737493697e-01
1.560000000000000053e+00,2.792415046859152983e-01,2.859406244469263614e-01
1.570000000000000062e+00,2.902983744589908710e-01,2.973657112603801389e-01
1.580000000000000071e+00,3.016102033527227055e-01,3.090416965755945489e-01
1.590000000000000080e+00,3.131737398893523761e-01,3.209642496201782769e-01
1.600000000000000089e+00,3.249851791605692930e-01,3.331284874329829004e-01
1.610000000000000098e+00,3.370401509175622867e-01,3.455289671830831244e-01
1.620000000000000107e+00,3.493337089954101082e-01,3.581596798514827262e-01
1.629999999999999893e+00,3.618603221726735542e-01,3.710140453564370611e-01
1.640000000000000124e+00,3.746138665493543574e-01,3.840849091885369382e-01
1.649999999999999911e+00,3.875876195528066281e-01,3.973645406431307037e-01
1.659999999999999920e+00,4.007742556599479533e-01,4.108446327188298719e-01
1.669999999999999929e+00,4.141658439034646699e-01,4.245163037314570453e-01
1.679999999999999938e+00,4.277538472592313790e-01,4.383701007198887445e-01
1.689999999999999947e+00,4.415291239920656752e-01,4.523960046988186878e-01
1.699999999999999956e+00,4.554819310122616982e-01,4.665834377931957211e-01
1.709999999999999964e+00,4.696019293112117521e-01,4.809212723048632565e-01
1.719999999999999973e+00,4.838781915310314541e-01,4.953978417434366510e-01
1.729999999999999982e+00,4.982992117070522142e-01,5.100009538429121081e-01
1.739999999999999991e+00,5.128529172227062061e-01,5.247179055881834309e-01
1.750000000000000000e+00,5.275266830022489195e-01,5.395355002566301073e-01
1.760000000000000009e+00,5.423073479353409665e-01,5.544400664547578517e-01
1.770000000000000018e+00,5.571812335743128175e-01,5.694174791727899532e-01
1.780000000000000027e+00,5.721341650632709719e-01,5.844531828058975309e-01
1.790000000000000036e+00,5.871514942938588222e-01,5.995322161200438149e-01
1.800000000000000044e+00,6.022181252521352501e-01,6.146392391188268967e-01
1.810000000000000053e+00,6.173185415127662168e-01,6.297585617540940595e-01
1.820000000000000062e+00,6.324368358246595934e-01,6.448741744184459668e-01
1.830000000000000071e+00,6.475567417116896429e-01,6.599697801345377757e-01
