T,F_channel,F_fitted_1param
1.500000000000000000e+00,6.273804749892546440e-01,6.185693353678184403e-01
1.510000000000000009e+00,6.450199685164050845e-01,6.360255565572899839e-01
1.520000000000000018e+00,6.562072703651653516e-01,6.473152197584564060e-01
1.530000000000000027e+00,6.674075878262191175e-01,6.586300961183647606e-01
1.540000000000000036e+00,6.786163621145473446e-01,6.699650400751253621e-01
1.550000000000000044e+00,6.898287985400903821e-01,6.813146462795397484e-01
1.560000000000000053e+00,7.010398592914146576e-01,6.926732446194485693e-01
1.570000000000000062e+00,7.122442569136248069e-01,7.040348960106771470e-01
1.580000000000000071e+00,7.234364485519590993e-01,7.153933890163852727e-01
1.590000000000000080e+00,7.346106309712622240e-01,7.267422372971964473e-01
1.600000000000000089e+00,7.457607364769380798e-01,7.380746780092841686e-01
1.610000000000000098e+00,7.568804297866610353e-01,7.493836711864663158e-01
1.620000000000000107e+00,7.679631058293963086e-01,7.606619000759180516e-01
1.629999999999999893e+00,7.790018886650542651e-01,7.719017726155640302e-01
1.640000000000000124e+00,7.899896314859835567e-01,7.830954239912446546e-01
1.649999999999999911e+00,8.009189177689883810e-01,7.942347203457426064e-01
1.659999999999999920e+00,8.117820636718735550e-01,8.053112637175648958e-01
1.669999999999999929e+00,8.225711216606621523e-01,8.163163981784169465e-01
1.679999999999999938e+00,8.332778854310050054e-01,8.272412172330069202e-01
1.689999999999999947e+00,8.438938962165731805e-01,8.380765725579104597e-01
1.699999999999999956e+00,8.544104504105510811e-01,8.488130839925772664e-01
1.709999999999999964e+00,8.648186085900657627e-01,8.594411508621987439e-01
1.719999999999999973e+00,8.751092060284731966e-01,8.699509647158413239e-01
1.729999999999999982e+00,8.852728645212848413e-01,8.803325232799845690e-01
1.739999999999999991e+00,8.953000057452350502e-01,8.905756458485963867e-01
1.750000000000000000e+00,9.051808660341661428e-01,9.006699899839031298e-01
1.760000000000000009e+00,9.149055124988695331e-01,9.106050694325205086e-01
1.770000000000000018e+00,9.244638606972098716e-01,9.203702734760504933e-01
1.780000000000000027e+00,9.338456935590428998e-01,9.299548873934747606e-01
1.790000000000000036e+00,9.430406817374133999e-01,9.393481142094337599e-01
1.800000000000000044e+00,9.520384052249724061e-01,9.485390975596819096e-01
1.810000000000000053e+00,9.608283762315459331e-01,9.575169456592511619e-01
1.820000000000000062e+00,9.694000632766621717e-01,9.662707563301365932e-01
1.830000000000000071e+00,9.777429163392659106e-01,9.747896429164860654e-01
1.840000000000000080e+00,9.858463931309447981e-01,9.830627611609146221e-01
1.850000000000000089e+00,9.936999862371940218e-01,9.910793367749769489e-01
1.859999999999999876e+00,1.001293251149335317e+00,9.988286937316476211e-01
1.870000000000000107e+00,1.008615835070317157e+00,1.006300283159480280e+00
1.879999999999999893e+00,1.015657506284299405e+00,1.013483712627772260e+00
1.890000000000000124e+00,1.022408184082381322e+00,1.020368775823743190e+00
1.899999999999999911e+00,1.028857969099872705e+00,1.026945482474457494e+00
