T,F_channel,F_fitted_1param
1.500000000000000000e+00,1.352524565310501581e+00,1.082574183935174350e+00
1.510000000000000009e+00,1.390034921407753199e+00,1.107130678792418665e+00
1.520000000000000018e+00,1.411326544889525580e+00,1.117138410890286870e+00
1.530000000000000027e+00,1.432590828914467762e+00,1.127223222507057532e+00
1.540000000000000036e+00,1.453821844099685068e+00,1.137386097439574195e+00
1.550000000000000044e+00,1.475013325462150249e+00,1.147627669542133910e+00
1.560000000000000053e+00,1.496158654874576444e+00,1.157948225997416980e+00
1.570000000000000062e+00,1.517250844279781186e+00,1.168347711630343344e+00
1.580000000000000071e+00,1.538282520831664169e+00,1.178825734040150230e+00
1.590000000000000080e+00,1.559245913304385667e+00,1.189381569683389595e+00
1.600000000000000089e+00,1.580132839760136187e+00,1.200014170790875134e+00
1.610000000000000098e+00,1.600934697376066973e+00,1.210722173040541749e+00
1.620000000000000107e+00,1.621642453698526776e+00,1.221503904057939405e+00
1.629999999999999893e+00,1.642246639786052231e+00,1.232357392602464463e+00
1.640000000000000124e+00,1.662737345449542881e+00,1.243280378450637436e+00
1.649999999999999911e+00,1.683104216510038720e+00,1.254270322855118414e+00
1.659999999999999920e+00,1.703336454049745319e+00,1.265324419632514852e+00
1.669999999999999929e+00,1.723422815863485891e+00,1.276439606804990579e+00
1.679999999999999938e+00,1.743351620453576167e+00,1.287612578632994165e+00
1.689999999999999947e+00,1.763110752882388388e+00,1.298839798164249437e+00
1.699999999999999956e+00,1.782687673233878556e+00,1.310117510147068343e+00
1.709999999999999964e+00,1.802069427600400786e+00,1.321441754244768729e+00
1.719999999999999973e+00,1.821242661101594607e+00,1.332808378553145712e+00
1.729999999999999982e+00,1.840193633613007806e+00,1.344213053331704932e+00
1.739999999999999991e+00,1.858908237807109343e+00,1.355651284912452903e+00
1.750000000000000000e+00,1.877372019640716205e+00,1.367118429743554575e+00
1.760000000000000009e+00,1.895570201270927679e+00,1.378609708475083684e+00
1.770000000000000018e+00,1.913487706144783695e+00,1.390120220095819814e+00
1.780000000000000027e+00,1.931109186553049195e+00,1.401644956031044664e+00
1.790000000000000036e+00,1.948419053472625562e+00,1.413178814150792606e+00
1.800000000000000044e+00,1.965401508284816412e+00,1.424716612663784243e+00
