P_over_N,test_mse,inverse_fisher_scale
5.000000000000000278e-02,1.037535920127418354e+00,1.231661209052600681e+00
1.000000000000000056e-01,1.076297035621278209e+00,1.695881718763977863e+00
1.499999999999999944e-01,1.105460502049454119e+00,2.222800434983988715e+00
2.000000000000000111e-01,1.156595342548723204e+00,2.915929105344592820e+00
2.500000000000000000e-01,1.259692967800750463e+00,3.898068033636310492e+00
2.999999999999999889e-01,1.338157547734000641e+00,5.126878458604983813e+00
3.499999999999999778e-01,1.479071155559184003e+00,6.204313671678669984e+00
4.000000000000000222e-01,1.565635873281350676e+00,7.456704869087226406e+00
4.500000000000000111e-01,1.807470612287207512e+00,8.835575920230501978e+00
5.000000000000000000e-01,2.000286409554209222e+00,1.151373490419396184e+01
5.500000000000000444e-01,2.263429505411089782e+00,1.414438336097569682e+01
5.999999999999999778e-01,2.506612196067977916e+00,1.720311001367068826e+01
6.500000000000000222e-01,2.983555118944771767e+00,2.939769417947313102e+01
6.999999999999999556e-01,3.445952433145188287e+00,3.520271672229100091e+01
7.500000000000000000e-01,3.812060601437943230e+00,4.806008014456022437e+01
8.000000000000000444e-01,4.305534006227491162e+00,6.363799884135833196e+01
8.499999999999999778e-01,6.145478063444704375e+00,1.022690259860942774e+02
9.000000000000000222e-01,1.218439560111188236e+01,2.477326218654165757e+02
9.499999999999999556e-01,2.003258983638100688e+01,5.925283676180705470e+02
1.000000000000000000e+00,4.831683548375081614e+02,7.174954316501678477e+03
1.050000000000000044e+00,9.500179054105299770e+01,7.593864348894609293e+02
1.100000000000000089e+00,9.792666697176294122e+00,2.948873786465384796e+02
1.149999999999999911e+00,6.437651932195533000e+00,1.525502409083819373e+02
1.199999999999999956e+00,4.755343507463920538e+00,9.794820218555506131e+01
1.250000000000000000e+00,3.786997104027061578e+00,6.792461312417746910e+01
1.300000000000000044e+00,3.374581349419642606e+00,5.036141325734784857e+01
1.350000000000000089e+00,2.990095460338890287e+00,4.051650636975781339e+01
1.399999999999999911e+00,2.734528152401802359e+00,3.385648183455119664e+01
1.449999999999999956e+00,2.509789059286021029e+00,2.613303854257653924e+01
1.500000000000000000e+00,2.368230134431952738e+00,2.440063707662540438e+01
1.550000000000000044e+00,2.168128473761368191e+00,1.995741572400537578e+01
1.600000000000000089e+00,2.107181446648655587e+00,1.712956480172443463e+01
1.649999999999999911e+00,1.978029327500509860e+00,1.595476870583135920e+01
1.699999999999999956e+00,1.886094786356645958e+00,1.334211679633931524e+01
1.750000000000000000e+00,1.796051721156322278e+00,1.290913910746491844e+01
1.800000000000000044e+00,1.730896243021806002e+00,1.208056688733564066e+01
1.850000000000000089e+00,1.626241671305009406e+00,1.070631028226840620e+01
1.899999999999999911e+00,1.579413283083912711e+00,1.036036585774685115e+01
1.949999999999999956e+00,1.521307434396460323e+00,9.187060105219700290e+00
2.000000000000000000e+00,1.491552902061628938e+00,8.717260109246998567e+00
2.049999999999999822e+00,1.432928568607168884e+00,7.497648196639800311e+00
2.100000000000000089e+00,1.405747258070788819e+00,7.309635253490916362e+00
2.149999999999999911e+00,1.378293724383049756e+00,6.829606728519944880e+00
2.200000000000000178e+00,1.348274880495368144e+00,6.641882753696959796e+00
2.250000000000000000e+00,1.333191514334167715e+00,6.413481652129545907e+00
2.299999999999999822e+00,1.316214870723072528e+00,6.072786655411122503e+00
2.350000000000000089e+00,1.293973474360372133e+00,5.743921941127159592e+00
2.399999999999999911e+00,1.275610321485578957e+00,5.553244099157074842e+00
2.450000000000000178e+00,1.248080758748539631e+00,5.143456675822092095e+00
2.500000000000000000e+00,1.227837390982318144e+00,4.949817748287077102e+00
2.549999999999999822e+00,1.201497832073457950e+00,4.680547383811468620e+00
2.600000000000000089e+00,1.182330674791826075e+00,4.596214873240336729e+00
2.649999999999999911e+00,1.157967755676850174e+00,4.351871612909373077e+00
2.700000000000000178e+00,1.131923994133123834e+00,3.971780883678787344e+00
2.750000000000000000e+00,1.118695349446676701e+00,3.890086734007202729e+00
2.799999999999999822e+00,1.115209323247061901e+00,3.572727560208123876e+00
2.850000000000000089e+00,1.108334955161362601e+00,3.390638006571971896e+00
2.899999999999999911e+00,1.094561536262916857e+00,3.284805678014346864e+00
2.950000000000000178e+00,1.087498308858888985e+00,3.226142909945397985e+00
3.000000000000000000e+00,1.073777400870398857e+00,3.062087189020000100e+00
3.049999999999999822e+00,1.052786957670793333e+00,2.977851413375877332e+00
3.100000000000000089e+00,1.046739303852710412e+00,2.899407675794966721e+00
3.149999999999999911e+00,1.037592440056283705e+00,2.845754479791389624e+00
3.200000000000000178e+00,1.024165062233884260e+00,2.782401616205388173e+00
3.250000000000000000e+00,1.021581222641935183e+00,2.680185109211684846e+00
3.299999999999999822e+00,1.014125782370176365e+00,2.582293281443818866e+00
3.350000000000000089e+00,1.009273362986208067e+00,2.505203025796582494e+00
3.399999999999999911e+00,9.946411565641147812e-01,2.455190730455166559e+00
3.450000000000000178e+00,9.848457741155723921e-01,2.400249661036127691e+00
3.500000000000000000e+00,9.836134750075825606e-01,2.367385234999361820e+00
