T,magnetization,fisher_info_chi
2.999999999999999889e-01,9.974138168919747249e-01,1.752061237550507633e-02
3.142857142857142794e-01,9.964819993769141737e-01,2.285874229468409791e-02
3.285714285714285698e-01,9.953353902036174983e-01,2.915287020721972835e-02
3.428571428571428603e-01,9.939514193538240283e-01,3.645919326736370147e-02
3.571428571428571508e-01,9.923084529871585291e-01,4.483056114967091943e-02
3.714285714285714413e-01,9.903858405460184144e-01,5.431814988899971719e-02
3.857142857142856762e-01,9.881639021255684829e-01,6.497310919456301959e-02
3.999999999999999667e-01,9.856238716346567008e-01,7.684814719791054072e-02
4.142857142857142572e-01,9.827478085070638913e-01,8.999904658644801436e-02
4.285714285714285476e-01,9.795184879254335009e-01,1.044861262576625566e-01
4.428571428571428381e-01,9.759192769774529541e-01,1.203756757767424773e-01
4.571428571428571286e-01,9.719340019924894714e-01,1.377413985303561350e-01
4.714285714285714191e-01,9.675468105245740302e-01,1.566659055791052579e-01
4.857142857142857095e-01,9.627420300200315584e-01,1.772423074046304281e-01
5.000000000000000000e-01,9.575040240772680900e-01,1.995759562596284842e-01
5.142857142857142350e-01,9.518170463080544152e-01,2.237863986706454256e-01
5.285714285714285809e-01,9.456650910814582423e-01,2.500096067331555871e-01
5.428571428571428159e-01,9.390317398162505436e-01,2.784005691264953009e-01
5.571428571428571619e-01,9.319000009334158507e-01,3.091363393760563349e-01
5.714285714285713969e-01,9.242521410399673343e-01,3.424196612210693713e-01
5.857142857142856318e-01,9.160695043433219054e-01,3.784833209119305986e-01
5.999999999999999778e-01,9.073323166453086674e-01,4.175954164927346834e-01
6.142857142857143238e-01,8.980194694852889903e-01,4.600657883190377162e-01
6.285714285714285587e-01,8.881082790315932840e-01,5.062539284880837043e-01
6.428571428571427937e-01,8.775742130826237331e-01,5.565787871176872681e-01
6.571428571428571397e-01,8.663905779316575240e-01,6.115310315991256962e-01
6.714285714285714857e-01,8.545281547343319684e-01,6.716885074859522131e-01
6.857142857142857206e-01,8.419547722009289581e-01,7.377359212091366691e-01
6.999999999999999556e-01,8.286347986408419963e-01,8.104901528906242048e-01
7.142857142857141906e-01,8.145285312125066790e-01,8.909331703965759353e-01
7.285714285714285365e-01,7.995914530852697988e-01,9.802553453846635234e-01
7.428571428571428825e-01,7.837733192065142740e-01,1.079913216619414973e+00
7.571428571428571175e-01,7.670170171166253992e-01,1.191707649290558502e+00
7.714285714285713524e-01,7.492571286157079236e-01,1.317891313293432454e+00
7.857142857142856984e-01,7.304180876110182297e-01,1.461319162238998048e+00
8.000000000000000444e-01,7.104117834878862503e-01,1.625663413046366967e+00
8.142857142857142794e-01,6.891343882428947465e-01,1.815727756609096799e+00
8.285714285714285143e-01,6.664620726047074672e-01,2.037918683666841702e+00
8.428571428571427493e-01,6.422450910113250977e-01,2.300973907569994648e+00
8.571428571428572063e-01,6.162994001225016172e-01,2.617127850987439608e+00
8.714285714285714413e-01,5.883944165814557481e-01,3.004054134350125693e+00
8.857142857142856762e-01,5.582344781396523237e-01,3.488264941661118446e+00
8.999999999999999112e-01,5.254295126580444952e-01,4.111424140079679823e+00
9.142857142857141461e-01,4.894460405363206257e-01,4.942973531622276262e+00
9.285714285714286031e-01,4.495194380654397026e-01,6.107910620774201327e+00
9.428571428571428381e-01,4.044816508849308212e-01,7.856233049472858276e+00
9.571428571428570731e-01,3.523760839436437253e-01,1.077127192163786162e+01
9.714285714285713080e-01,2.894075817719107269e-01,1.660302512831179200e+01
9.857142857142857650e-01,2.058337915701891618e-01,3.410149067328885764e+01
1.000000000000000000e+00,8.659549652709682202e-03,1.333450254169233267e+04
1.014285714285714235e+00,6.918699726480482889e-13,7.000000000000009948e+01
1.028571428571428470e+00,3.472490265375196939e-13,3.500000000000012790e+01
1.042857142857142927e+00,2.330588226370345302e-13,2.333333333333330017e+01
1.057142857142857162e+00,1.661795839077425822e-13,1.750000000000000000e+01
1.071428571428571397e+00,1.325472554685854440e-13,1.400000000000000355e+01
1.085714285714285632e+00,1.098900408151590586e-13,1.166666666666668029e+01
1.099999999999999867e+00,9.262127177910552843e-14,1.000000000000001066e+01
1.114285714285714324e+00,8.179497011102203630e-14,8.749999999999992895e+00
1.128571428571428559e+00,6.991034776493326092e-14,7.777777777777782120e+00
1.142857142857142794e+00,6.278606906683568882e-14,7.000000000000000000e+00
1.157142857142857029e+00,5.619309006583890284e-14,6.363636363636366866e+00
