n,skill_L1,skill_L2,skill_L3,skill_L4,cliff_L3_minus_L2
2,0.0279679941391634,0.12344533329625863,0.35522919532639224,0.3015377363341804,0.23178386203013362
4,0.03641141644964343,0.26334839906017715,0.5150830833879864,0.5100988667632409,0.2517346843278092
8,0.037560370631751806,0.3119796178887689,0.7485522176644137,0.6687451575300484,0.43657259977564483
16,0.007612872157946353,0.38980451339443495,0.813031505556791,0.7410559314099707,0.4232269921623561
32,0.04491771255265816,0.36800536254119615,0.8615196009094498,0.8035578457078026,0.49351423836825364
64,0.01475337761098309,0.43535569015618525,0.8877918834842999,0.8999805573680423,0.4524361933281147
128,0.023913337988655636,0.490111149906475,0.9233444608690443,0.8754447474169892,0.43323331096256934
256,0.050473530137368015,0.49171945971977155,0.9254456516828372,0.9223583023277548,0.43372619196306567
512,0.07260063081548128,0.5643499332106052,0.9369768150400186,0.9124517273855907,0.3726268818294134
1024,0.022975792934955164,0.5415413579452028,0.9330985197695886,0.9226659062526972,0.3915571618243858
